!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
"ignore	"@@ ig@@ n@@ ore
seoni,	se@@ on@@ i,
separated	se@@ par@@ ated
separation	se@@ par@@ ation
seppa	sep@@ pa
september	september
seraikela	se@@ ra@@ ik@@ ela
serampore	se@@ ram@@ pore
serbia	ser@@ bia
serchhip	ser@@ ch@@ hi@@ p
sergey	ser@@ ge@@ y
sergio	ser@@ gi@@ o
serial	ser@@ i@@ al
series	ser@@ ies
server	ser@@ ver
service	serv@@ ice
services	serv@@ ice ⧺s
sesame	se@@ sam@@ e
setganga	se@@ t@@ ganga
seth	se@@ th
sethi	se@@ th@@ i
sethia	se@@ th@@ ia
seti	se@@ ti
seti6908	se@@ ti@@ 6@@ 9@@ 0@@ 8
sets	se@@ ts
settlement	settl@@ ement
settlement/areadisp	settlement/@@ ar@@ e@@ a@@ dis@@ p
settlement/checkauto	settlement/@@ che@@ c@@ ka@@ ut@@ o
settlement/columns	settlement/@@ colum@@ ns
settlement/densdisp	settlement/@@ den@@ s@@ dis@@ p
settlement/lengthdisp	settlement/@@ l@@ eng@@ th@@ dis@@ p
settlement/link	settlement/@@ link
settlement/metric	settlement/@@ me@@ tri@@ c
settlement/pref	settlement/@@ pre@@ f
settlement/wikidata	settlement/@@ wikidata
setu	se@@ tu
sev	se@@ v
seva	se@@ va
sevagram	se@@ va@@ g@@ ram
seven	se@@ ven
sewage	se@@ w@@ age
sex	sex
sexual	se@@ x@@ u@@ al
sexually	se@@ x@@ u@@ ally
sfn	s@@ f@@ n
sfnp	s@@ f@@ n@@ p
sfnref	s@@ f@@ n@@ re@@ f
sh	sh
shabari	sha@@ bari
shabd	sha@@ b@@ d
shabdasrishti	sha@@ b@@ das@@ rish@@ ti
shah	shah
shahabuddin	sha@@ ha@@ bud@@ din
shahada	sha@@ ha@@ da
shahada,	sha@@ ha@@ da,
shahdol	shah@@ do@@ l
shahgarh	shah@@ garh
shahi	sha@@ hi
shahjahanpur	shah@@ ja@@ han@@ pur
shaikh	sha@@ ik@@ h
shailaputri	sha@@ ila@@ pu@@ tri
shaitan	sha@@ it@@ an
shaivism	sha@@ iv@@ ism
shajapur	sha@@ ja@@ pur
shaka	sha@@ ka
shakespeare	sha@@ kes@@ pe@@ are
shakoor	sha@@ ko@@ or
shakuni	sha@@ kun@@ i
shaligram	sha@@ li@@ g@@ ram
shalya	sha@@ l@@ ya
shamal	sha@@ mal
shambhudan	sha@@ m@@ bh@@ ud@@ an
shameem	sha@@ me@@ em
shami	sha@@ mi
shamlaji	sha@@ m@@ la@@ ji
shamli	sha@@ m@@ li
shane	shan@@ e
shani	sh@@ ani
shankar	shankar
shankar's	shan@@ kar@@ 's
shankara	shan@@ kara
shankarlal	shan@@ kar@@ lal
shankarpali	shankar@@ p@@ ali
shankersinh	shan@@ k@@ ers@@ in@@ h
shankheshwar	shan@@ khe@@ shwar
shantanu	shan@@ tan@@ u
shanti	shan@@ ti
sharad	sh@@ ara@@ d
sharan	shar@@ an
sharavati	sh@@ ara@@ vati
sharbat	shar@@ ba@@ t
sharda	shar@@ da
sharepoint	shar@@ e@@ po@@ in@@ t
sharif	sh@@ ari@@ f
sharma	sharma
sharman	shar@@ man
sharp	shar@@ p
shashthi	sha@@ sh@@ th@@ i
shastra	sha@@ s@@ tra
shastri	sha@@ str@@ i
shastriji	sha@@ s@@ tri@@ ji
shatabdi	shat@@ ab@@ di
shatapatha	sh@@ ata@@ pat@@ ha
shatrughna	shat@@ ru@@ gh@@ na
shatrunjaya	shat@@ r@@ un@@ ja@@ ya
shaurya	sha@@ ur@@ ya
shawl	sha@@ wl
shayda	sha@@ y@@ da
shearer	she@@ ar@@ er
sheffield	she@@ f@@ field
shehnai	she@@ h@@ nai
sheikh	she@@ ik@@ h
sheikhpura	she@@ ik@@ h@@ pura
shekhar	she@@ kha@@ r
shekhawat	she@@ kha@@ wat
shelat	she@@ la@@ t
shell	sh@@ ell
shelters	sh@@ el@@ ter@@ s
sheohar	she@@ o@@ har
sheopur	she@@ o@@ pur
sher-gil	sh@@ er@@ -@@ g@@ il
sherlock	sh@@ er@@ lo@@ ck
sherpur,	sh@@ er@@ pur,
sheth	she@@ th
shetrunji	she@@ tr@@ un@@ ji
shetty	she@@ t@@ ty
shiamak	shi@@ a@@ ma@@ k
shikarpur,	sh@@ ik@@ ar@@ pur,
shikhandi	sh@@ ik@@ hand@@ i
shikhar	sh@@ ik@@ har
shikharji	sh@@ ik@@ har@@ ji
shikshapatri	sh@@ ik@@ sha@@ pat@@ ri
shillong	sh@@ il@@ long
shimla	sh@@ im@@ la
shimoga	shi@@ mo@@ ga
shinai,	sh@@ ina@@ i,
shinde	sh@@ ind@@ e
shingnapur	sh@@ ing@@ na@@ pur
shinto	sh@@ in@@ to
ship	ship
shipra	shi@@ p@@ ra
shirdi	shir@@ di
shirish	shir@@ ish
shiromani	shir@@ o@@ mani
shirpur	shir@@ pur
shishupala	sh@@ ish@@ up@@ ala
shitala	sh@@ it@@ ala
shiv	shiv
shiva	shiv@@ a
shivaji	shiv@@ a@@ ji
shivaram	shiv@@ aram
shivaratri	shiv@@ ar@@ atri
shivdasani	shiv@@ das@@ ani
shivji	shiv@@ ji
shivkumar	shiv@@ kumar
shivlal	shiv@@ lal
shivnath	shiv@@ nath
shivneri	shiv@@ n@@ eri
shivpuri	shiv@@ puri
shivsagar	shiv@@ sagar
shobha	sho@@ bha
sholay	sho@@ la@@ y
shoolpaneshwar	sho@@ ol@@ pan@@ eshwar
short	shor@@ t
shortcut	short@@ cu@@ t
shortcut/config	short@@ c@@ ut@@ /@@ config
shortest	short@@ est
show	sho@@ w
shraavana	sh@@ ra@@ av@@ ana
shravan	sh@@ rav@@ an
shravanabelagola	sh@@ ra@@ van@@ a@@ be@@ la@@ g@@ ola
shravasti	sh@@ ra@@ va@@ st@@ i
shree	sh@@ re@@ e
shreya	sh@@ re@@ ya
shri	shri
shridharani	shri@@ dhar@@ ani
shrikhand	shri@@ khand
shrimad	shri@@ mad
shrimp	shri@@ m@@ p
shrinathji	sh@@ rin@@ ath@@ ji
shrine	sh@@ r@@ ine
shripad	shri@@ pa@@ d
shroff	sh@@ ro@@ f@@ f
shrubs	sh@@ ru@@ bs
shrutakirti	sh@@ r@@ ut@@ ak@@ ir@@ ti
shruti	sh@@ r@@ ut@@ i
shubha	sh@@ u@@ bha
shubhangi	sh@@ u@@ bh@@ ang@@ i
shudra	sh@@ ud@@ ra
shui	sh@@ u@@ i
shukla	sh@@ uk@@ la
shweta	sh@@ we@@ ta
shyam	sh@@ yam
shyamji	sh@@ yam@@ ji
siaha	si@@ a@@ ha
siang	si@@ ang
sibynophis	si@@ b@@ y@@ no@@ phis
sickle	s@@ ic@@ k@@ le
siddhagiri	sid@@ dha@@ giri
siddharaja	sid@@ dh@@ ara@@ ja
siddharth	sid@@ dhar@@ th
siddharthnagar	sid@@ dhar@@ th@@ nagar
siddhi	sid@@ dhi
siddhidhatri	sid@@ dh@@ i@@ dh@@ atri
siddhivinayak	sid@@ dhi@@ vin@@ a@@ yak
siddhpur	sid@@ dh@@ pur
siddi	sid@@ di
side	side
sidebar	si@@ de@@ bar
sidhi	si@@ dhi
sidhu	si@@ dh@@ u
sidhwa	si@@ dh@@ wa
sidi	si@@ di
siebot	si@@ e@@ bot
siebrand	si@@ e@@ br@@ and
siege	si@@ e@@ ge
sierra	si@@ er@@ ra
siesta	si@@ est@@ a
sig	si@@ g
sigiriya	si@@ gi@@ ri@@ ya
sign	sig@@ n
signature	sig@@ nature
signatures	sig@@ nature ⧺s
significant	sig@@ ni@@ fic@@ ant
sihor	si@@ ho@@ r
sihori	si@@ hor@@ i
siju	si@@ j@@ u
sikandar	sik@@ and@@ ar
sikar	sik@@ ar
sikh	sik@@ h
sikhism	sik@@ h@@ ism
sikhs	sik@@ h ⧺s
sikka	sik@@ ka
sikka,	sik@@ ka@@ ,
sikkim	sikkim
sikra	sik@@ ra
sikri	sik@@ ri
silchar	sil@@ char
silent	sil@@ ent
silicon	sil@@ icon
siliguri	sil@@ ig@@ uri
silk	sil@@ k
silvassa	sil@@ vas@@ sa
silver	sil@@ ver
silvonenbot	sil@@ v@@ on@@ en@@ bot
sima	si@@ ma
simba	sim@@ ba
simbad	sim@@ bad
simdega	sim@@ de@@ ga
simlak	sim@@ la@@ k
simon	si@@ mon
simple	sim@@ ple
sinaloa	sin@@ al@@ o@@ a
sind	sin@@ d
sindewahi	sin@@ de@@ wa@@ hi
sindh	s@@ ind@@ h
sindhi	sin@@ dhi
sindhis	sin@@ dhi ⧺s
sindhu	sin@@ dh@@ u
sindhudurg	sin@@ dh@@ ud@@ ur@@ g
sindhupalchok	sin@@ dh@@ up@@ al@@ ch@@ ok
sindkheda	sin@@ d@@ kheda
singapore	sing@@ a@@ pore
singer	singer
singers	singer ⧺s
singh	singh
singhbhum	sing@@ h@@ bh@@ um
single	sing@@ le
single-innings	sing@@ le@@ -@@ in@@ n@@ ing@@ s
singrauli	sing@@ ra@@ uli
sinha	sin@@ ha
sinnar	sin@@ nar
sino-indian	sin@@ o@@ -@@ indian
sinor	sin@@ or
sins	sin@@ s
sint	sin@@ t
sinugra	sin@@ ug@@ ra
sion	sion
sir	si@@ r
sirius	si@@ ri@@ us
sirmaur	s@@ ir@@ ma@@ ur
sirohi	s@@ ir@@ o@@ hi
sirpur,	s@@ ir@@ pur,
sirsa	s@@ ir@@ sa
sisodia	s@@ iso@@ dia
sissoo	s@@ is@@ so@@ o
sister	s@@ ister
sister-inline	s@@ ister@@ -@@ inline
sisyphus	s@@ is@@ y@@ ph@@ us
sita	s@@ ita
sitamarhi	sit@@ amar@@ hi
sitanshu	sit@@ an@@ sh@@ u
sitapur	sit@@ a@@ pur
sitar	sit@@ ar
site	site
site/wikidata	sit@@ e/@@ wikidata
sites	site ⧺s
sitharaman	sit@@ h@@ ara@@ man
sivaganga	si@@ vag@@ anga
sivaji	si@@ va@@ ji
sivaramakrishnan	si@@ v@@ ara@@ ma@@ krish@@ n@@ an
sivasagar	si@@ vas@@ agar
siwan	si@@ wan
siwan,	si@@ wan@@ ,
siyot	si@@ yo@@ t
sk	s@@ k
skandamata	sk@@ and@@ am@@ ata
skeleton	s@@ ke@@ le@@ ton
skepticism	s@@ ke@@ p@@ tic@@ ism
skrillex	sk@@ r@@ il@@ le@@ x
slave	s@@ la@@ ve
slavery	s@@ la@@ ver@@ y
sleep	s@@ le@@ ep
sleeping	s@@ le@@ ep@@ ing
sloth	slo@@ th
slovakia	slo@@ va@@ kia
slovenia	slo@@ ven@@ ia
slumdog	s@@ l@@ um@@ do@@ g
small	smal@@ l
smallcaps	smal@@ l@@ ca@@ ps
smallsup	smal@@ l@@ su@@ p
smarak	s@@ m@@ arak
smith	s@@ mit@@ h
smoking	s@@ mo@@ king
smooth-coated	s@@ mo@@ ot@@ h@@ -@@ co@@ ated
smriti	s@@ m@@ rit@@ i
sms	s@@ ms
snack	s@@ na@@ ck
snake	s@@ na@@ ke
snakes	s@@ na@@ ke ⧺s
snooker	s@@ no@@ o@@ ker
snow	s@@ no@@ w
snowcock	s@@ now@@ co@@ ck
social	social
socialist	soci@@ al@@ ist
society	soci@@ e@@ ty
sociology	soci@@ ology
socrates	so@@ c@@ rat@@ es
sodha	so@@ dha
sodium	so@@ dium
soft	soft
softball	soft@@ ball
software	so@@ f@@ t@@ ware
sohil	so@@ hi@@ l
sohrab	so@@ hra@@ b
sojitra	so@@ ji@@ tra
solan	so@@ lan
solanki	so@@ lan@@ ki
solapur	so@@ la@@ pur
solar	solar
solid	so@@ li@@ d
solomon	so@@ lo@@ mon
soma	so@@ ma
somaiya	so@@ ma@@ iya
somalal	so@@ mal@@ al
somalia	so@@ mal@@ ia
somaliland	so@@ mal@@ il@@ and
someshwar	so@@ me@@ shwar
somma	som@@ ma
somnath	som@@ nath
somnifera	som@@ ni@@ fer@@ a
son	son
sonakshi	son@@ ak@@ shi
sonal	son@@ al
sonar	son@@ ar
sonariya	son@@ ari@@ ya
sonbhadra	son@@ bhadra
sondur	son@@ d@@ ur
song	s@@ ong
songadh	son@@ gadh
songkran	son@@ g@@ k@@ ran
songs	s@@ ong ⧺s
soni	son@@ i
sonia	son@@ ia
sonipat	son@@ i@@ pat
sonipur	son@@ ipur
sonitpur	son@@ it@@ pur
sonora	son@@ ora
sonpura	son@@ pura
sonsogor	son@@ so@@ go@@ r
sonu	son@@ u
sooni	so@@ on@@ i
sophera	so@@ ph@@ era
sophist	so@@ ph@@ ist
sorath	s@@ or@@ ath
soros	s@@ oro@@ s
sorting	s@@ or@@ ting
sosyo	so@@ sy@@ o
soul	so@@ ul
soulbot	so@@ ul@@ bot
sound	so@@ und
source	source
source?	so@@ ur@@ ce@@ ?
sources	source ⧺s
sources/core	so@@ ur@@ c@@ es@@ /core
south	south
southampton	so@@ ut@@ ham@@ p@@ ton
southern	so@@ u@@ thern
sovereign	sovereign
sovereignty	sovere@@ ig@@ n@@ ty
soviet	so@@ viet
soxred93	so@@ x@@ red@@ 9@@ 3
soybean	so@@ y@@ be@@ an
space	space
spacecraft-stub	spa@@ ce@@ cra@@ ft@@ -@@ stub
spaced	spa@@ c@@ ed
spaces	space ⧺s
spain	spa@@ in
spanish	s@@ pan@@ ish
spanish-language	s@@ pan@@ ish@@ -@@ language
sparrow	s@@ par@@ row
speaker	spe@@ ak@@ er
speakers	spe@@ ak@@ er ⧺s
special	speci@@ al
species	speci@@ es
speciesbox	speci@@ es@@ box
speciesbox/name	speci@@ es@@ box/@@ name
specifically	speci@@ fic@@ ally
spectrum	spe@@ c@@ tr@@ um
speculation	spe@@ c@@ ul@@ ation
speed	spe@@ ed
sperm	s@@ per@@ m
spesbona	s@@ p@@ es@@ bo@@ na
sphere	s@@ ph@@ er@@ e
spices	s@@ pic@@ es
spin	s@@ p@@ in
spinach	s@@ pin@@ ach
spinning	s@@ p@@ in@@ ning
spirited	s@@ pir@@ it@@ ed
spirituality	s@@ pir@@ it@@ u@@ ality
spiti	s@@ pit@@ i
sport	sport
sports	sport ⧺s
sportsperson	sport ⧺s@@ person
spot,	s@@ pot@@ ,
spot-billed	s@@ po@@ t@@ -@@ bil@@ le@@ d
springsteen	s@@ pr@@ ing@@ ste@@ en
spundun	s@@ pun@@ du@@ n
sql	s@@ q@@ l
squamosa	squ@@ am@@ o@@ sa
square	squ@@ are
squirrel	squ@@ ir@@ re@@ l
sr	s@@ r
sreebot	s@@ re@@ e@@ bot
sreeram	s@@ re@@ e@@ ram
sri	sri
sriharikota	s@@ ri@@ har@@ ik@@ ota
srikakulam	s@@ ri@@ ka@@ ku@@ lam
srikalahasti	s@@ ri@@ kala@@ ha@@ st@@ i
srikkanth	s@@ ri@@ k@@ kanth
srilankan	s@@ r@@ il@@ ank@@ an
srinagar	srin@@ agar
srinath	srin@@ ath
sringeri	s@@ r@@ ing@@ eri
srinivasa	srin@@ iv@@ as@@ a
srinivasan	srin@@ iv@@ as@@ an
srinivasaraghavan	srin@@ iv@@ as@@ ar@@ ag@@ hav@@ an
ss	ss
ssr	ssr
st	st
stack	st@@ a@@ ck
stadium	stadium
stadium,	stadi@@ um@@ ,
stalin	st@@ al@@ in
stallone	st@@ all@@ one
stambh	stam@@ bh
stambha	stam@@ bha
stamford	stam@@ for@@ d
stamp	stam@@ p
stampede	stam@@ pe@@ de
standard	standard
stanford	st@@ an@@ for@@ d
star	star
starfish	star@@ f@@ ish
starlight	star@@ light
starling	st@@ ar@@ ling
starring	star@@ r@@ ing
stars	star ⧺s
start	start
stat	st@@ at
state	state
statements	stat@@ em@@ ents
states	state ⧺s
station	station
stations	station ⧺s
statistics	stat@@ ist@@ ics
statue	stat@@ ue
status	stat@@ us
steel	ste@@ el
steffi	ste@@ ff@@ i
step-well	ste@@ p@@ -@@ well
stephen	ste@@ ph@@ en
stepwell	stepwell
sterling	ster@@ ling
stethoscope	ste@@ th@@ os@@ co@@ pe
steve	ste@@ ve
sthānakavāsī	st@@ h@@ ā@@ na@@ ka@@ v@@ ā@@ s@@ ī
stnlnk	st@@ n@@ l@@ n@@ k
stock	stock
stoke	sto@@ ke
stone-curlew	st@@ one@@ -@@ cur@@ le@@ w
stop	sto@@ p
stork	st@@ or@@ k
story	st@@ ory
stotra	sto@@ tra
stove	sto@@ ve
str	str
stranger	str@@ ang@@ er
strasbourg	str@@ as@@ bour@@ g
strawberry	s@@ tra@@ w@@ ber@@ ry
streak-throated	str@@ e@@ ak@@ -@@ th@@ ro@@ ated
street	str@@ e@@ et
stretched	str@@ et@@ ch@@ ed
string	str@@ ing
string-handling	str@@ ing@@ -@@ hand@@ ling
string2	str@@ ing@@ 2
striped	s@@ tri@@ pe@@ d
strontium	str@@ on@@ ti@@ um
structure	str@@ u@@ ct@@ ure
stub	stub
stubs	stub ⧺s
stubtree	stub@@ tree
studies	stu@@ di@@ es
studio	stu@@ dio
stupa	st@@ up@@ a
stuttgart	st@@ utt@@ gar@@ t
stye	sty@@ e
style	style
style/ril	sty@@ le/@@ ril
style/yid	sty@@ le/@@ y@@ id
styria	sty@@ ri@@ a
su	s@@ u
suaeda	su@@ a@@ e@@ da
sub	su@@ b
subansiri	su@@ ban@@ s@@ iri
subarnapur	su@@ bar@@ na@@ pur
subarnapur,	su@@ bar@@ na@@ pur,
subatomic	subatomic
subcategories	sub@@ categ@@ ories
subcontinent	sub@@ con@@ tin@@ ent
subdatarow	sub@@ dat@@ ar@@ o@@ w
subdivision	sub@@ division
subhadra	su@@ bhadra
subhanpura	su@@ bhan@@ pura
subhas	su@@ bha@@ s
subhash	su@@ bha@@ sh
subheader	su@@ bh@@ e@@ ad@@ er
subir	su@@ bir
subject	sub@@ ject
submachine	sub@@ mach@@ ine
submarine	sub@@ mar@@ ine
submission	sub@@ mission
submission/edit	sub@@ mis@@ si@@ on/@@ edit
subpages	sub@@ pag@@ es
subpunctatus	sub@@ pun@@ ct@@ at@@ us
subrahmanyan	sub@@ ra@@ h@@ man@@ yan
subroto	sub@@ ro@@ to
subscription	sub@@ scri@@ p@@ tion
subscription-only	sub@@ scri@@ p@@ tion@@ -@@ on@@ ly
subst	sub@@ st
substitution	sub@@ stit@@ ution
substub	sub@@ stub
subtemplate	sub@@ template
subterranean	sub@@ ter@@ ran@@ ean
suburban	sub@@ urban
suburbs	sub@@ ur@@ bs
succeeding	su@@ c@@ ce@@ e@@ ding
success	su@@ c@@ c@@ ess
succession	su@@ c@@ c@@ es@@ sion
sudan	su@@ dan
sudarshana	su@@ dar@@ sh@@ ana
sudasana	su@@ das@@ ana
sudhagad	su@@ dha@@ ga@@ d
suez	su@@ e@@ z
sufi	su@@ fi
sugriva	su@@ g@@ ri@@ va
suhasi	su@@ ha@@ si
suigam	su@@ i@@ gam
suisse	su@@ is@@ se
suit	su@@ it
suite	su@@ ite
sujjan	su@@ j@@ jan
sukhbhadar	sukh@@ bhad@@ ar
sukhdev	sukh@@ dev
sukhdi	sukh@@ di
sukhi	sukh@@ i
sukhlal	sukh@@ lal
sukla	su@@ k@@ la
sukumar	su@@ kumar
sulayman	su@@ la@@ y@@ man
sulfur	sul@@ f@@ ur
sulochana	su@@ lo@@ ch@@ ana
sultan	sul@@ tan
sultana	sul@@ t@@ ana
sultanate	sul@@ tan@@ ate
sultanpur	sul@@ tan@@ pur
sultanpur,	sul@@ tan@@ pur,
sumali	sum@@ ali
suman	su@@ man
sumati	sum@@ ati
sumatinatha	sum@@ at@@ in@@ atha
sumitra	sum@@ i@@ tra
sumitranandan	sum@@ i@@ tran@@ and@@ an
summary	sum@@ m@@ ary
summer	sum@@ mer
summits	sum@@ mit@@ s
sun	su@@ n
sunbird	sun@@ bird
sundar	sun@@ dar
sundarbans	sun@@ dar@@ ban@@ s
sunday	sun@@ day
sundergarh	sun@@ der@@ garh
sunderland	sun@@ der@@ land
sundha	sun@@ dha
sunidhi	sun@@ i@@ dhi
sunil	sun@@ il
sunita	sun@@ ita
sunny	sun@@ n@@ y
supaul	su@@ pa@@ ul
supedi	su@@ pe@@ di
superdeep	su@@ per@@ de@@ ep
superfast	su@@ per@@ f@@ ast
superstition	su@@ per@@ stit@@ ion
suppressed	su@@ p@@ pre@@ s@@ se@@ d
supreme	su@@ pr@@ em@@ e
supriya	su@@ pri@@ ya
sur	su@@ r
surat	surat
surdas	sur@@ das
surendranagar	surendran@@ agar
surendranath	surendran@@ ath
suresh	sur@@ esh
surgana	sur@@ gana
surguja	sur@@ guj@@ a
suri,	sur@@ i,
suriname	sur@@ in@@ ame
surinder	sur@@ ind@@ er
surkhet	sur@@ kh@@ et
surkotada	sur@@ kot@@ ada
surrealism	sur@@ re@@ al@@ ism
sursagar	sur@@ sagar
surti	sur@@ ti
surya	sur@@ ya
suryavansha	sur@@ ya@@ van@@ sha
suryavarman	sur@@ ya@@ var@@ man
susan	s@@ us@@ an
sushma	su@@ sh@@ ma
sushruta	su@@ sh@@ r@@ ut@@ a
sustainable	su@@ st@@ a@@ in@@ able
suthari	su@@ th@@ ari
sutra	su@@ tra
sutrapada	su@@ tr@@ ap@@ ada
sutras	su@@ tra ⧺s
suvali	su@@ vali
suvarna	su@@ var@@ na
suvi	su@@ vi
suzlon	su@@ z@@ l@@ on
suzuki	su@@ zu@@ ki
sv	s@@ v
svami	s@@ v@@ ami
svara	s@@ v@@ ara
svādhyāya	s@@ v@@ ā@@ dh@@ y@@ ā@@ ya
sw	s@@ w
swadeshi	s@@ wa@@ de@@ shi
swadhyay	sw@@ adh@@ ya@@ y
swallow	sw@@ al@@ low
swami	swami
swaminarayan	swami@@ narayan
swan	sw@@ an
swansea	sw@@ an@@ sea
swarachakra	sw@@ ara@@ chakra
swaraj	sw@@ ara@@ j
swargarohini	s@@ war@@ gar@@ o@@ h@@ ini
swarghat	s@@ war@@ ghat
swaroop	s@@ war@@ o@@ o@@ p
swartz	s@@ war@@ t@@ z
swastika	s@@ wa@@ st@@ ika
swat	s@@ wat
sweden	swe@@ den
swedish	swe@@ dish
sweet	swe@@ et
swertia	sw@@ er@@ tia
swetha	swe@@ tha
swine	sw@@ ine
switcher	s@@ wit@@ cher
switzerland	s@@ wit@@ z@@ er@@ land
sword	s@@ wor@@ d
syangja	sy@@ ang@@ ja
sydney	sy@@ d@@ ne@@ y
syed	sy@@ ed
syiem	sy@@ i@@ em
sylvester	sy@@ l@@ ve@@ ster
symbiosis	sym@@ bi@@ o@@ sis
symbol	sym@@ bo@@ l
symbols	sym@@ bo@@ l ⧺s
symonds	sy@@ mon@@ ds
syndrome	sy@@ n@@ dro@@ me
synonyms	sy@@ n@@ on@@ y@@ ms
syntax	sy@@ n@@ ta@@ x
syphilis	sy@@ phil@@ is
syria	sy@@ ri@@ a
system	system
systems	system ⧺s
syzygium	sy@@ z@@ y@@ gi@@ um
syādvāda	sy@@ ā@@ d@@ v@@ ā@@ da
são	s@@ ã@@ o
søby	s@@ ø@@ by
t	t
t.	t@@ .
ta	ta
taal	ta@@ al
taarak	ta@@ arak
tabacum	ta@@ ba@@ c@@ um
tabasco	ta@@ bas@@ co
tabla	tab@@ la
table	table
table-experimental	table@@ -@@ ex@@ per@@ im@@ ental
tabletools	table@@ to@@ ol ⧺s
tabo,	ta@@ bo@@ ,
tabot-zerem	ta@@ bot@@ -@@ z@@ er@@ em
tacloban	ta@@ clo@@ ban
tacuarembó	ta@@ cu@@ ar@@ emb@@ ó
tadiranscopus	ta@@ di@@ ran@@ sco@@ pus
taekwondo	ta@@ ek@@ won@@ do
tag	ta@@ g
tagore	t@@ ag@@ ore
tags	ta@@ g ⧺s
tai	ta@@ i
taichi	ta@@ ic@@ hi
tailorbird	ta@@ il@@ or@@ bird
taiwan	ta@@ i@@ wan
taj	ta@@ j
tajik	ta@@ ji@@ k
tajikistan	ta@@ j@@ ik@@ istan
tak	tak
takaaki	ta@@ ka@@ ak@@ i
takhatgadh	ta@@ kh@@ at@@ gadh
takht	ta@@ kh@@ t
takht-i-bahi	ta@@ kh@@ t@@ -@@ i@@ -@@ ba@@ hi
takia	ta@@ kia
tal	tal
talaja	t@@ ala@@ ja
talala,	tal@@ ala@@ ,
talati	tal@@ ati
tale	tal@@ e
taliban	tali@@ ban
taliperu	tali@@ per@@ u
taliyara	tali@@ y@@ ara
talk	tal@@ k
talkatora	tal@@ kat@@ ora
talkback	tal@@ k@@ back
talod	tal@@ od
talode	tal@@ ode
talpada	tal@@ p@@ ada
taluka	taluka
talukas	taluka ⧺s
talvana	tal@@ v@@ ana
tamarind	tam@@ ar@@ ind
tamaulipas	ta@@ ma@@ u@@ li@@ pa@@ s
tambourine	tam@@ bour@@ ine
tamda	tam@@ da
tamenglong	tam@@ engl@@ ong
tamil	tamil
tamil-language	tamil@@ -@@ language
tamils	tamil ⧺s
tamluk	tam@@ lu@@ k
tammileru	tam@@ mil@@ er@@ u
tamsa	tam@@ sa
tanahun	tan@@ ah@@ un
tandava	tan@@ da@@ va
tangaliya	t@@ ang@@ ali@@ ya
tanganyika	t@@ ang@@ an@@ y@@ ika
tanggula	t@@ ang@@ gu@@ la
tank	tan@@ k
tankai	tan@@ ka@@ i
tankara	tan@@ kara
tansa	tan@@ sa
tansen	tan@@ sen
tantalum	tan@@ tal@@ um
tantia	tan@@ tia
tanushree	tan@@ u@@ sh@@ re@@ e
tanwar	tan@@ war
tanzania	tan@@ z@@ ania
tao	ta@@ o
taoism	ta@@ o@@ ism
tapan	ta@@ pan
tapi	ta@@ pi
tapkeshwari	ta@@ p@@ ke@@ shwari
tapti	ta@@ p@@ ti
tara	t@@ ara
tarabai	t@@ ara@@ bai
taragarh	tar@@ ag@@ arh
taran	tar@@ an
taranga	tar@@ anga
tarapore	t@@ ara@@ pore
taraporevala	t@@ ara@@ pore@@ vala
tarapur,	t@@ ara@@ pur,
tarasadi	tar@@ as@@ adi
tarla	tar@@ la
tarn	tar@@ n
tarnetar	tar@@ ne@@ tar
tarsadia	tar@@ sa@@ dia
tarsali	tar@@ s@@ ali
tarsier	tar@@ si@@ er
tashkent	ta@@ sh@@ k@@ ent
tasman	t@@ as@@ man
tata	tata
tataka	t@@ at@@ aka
tattvartha	t@@ att@@ var@@ tha
taurus	ta@@ ur@@ us
tavi	ta@@ vi
tavor	ta@@ v@@ or
tawa	ta@@ wa
tawang	ta@@ wan@@ g
tawi	ta@@ wi
tawny-bellied	ta@@ wn@@ y@@ -@@ bel@@ li@@ ed
tawrat	ta@@ w@@ rat
taxobox	taxobox
taxobox/displayed	taxobox/@@ dis@@ play@@ ed
taxobox/error	taxobox/@@ error
taxobox/floating	taxobox/@@ flo@@ at@@ ing
taxobox/italics	taxobox/@@ it@@ al@@ ics
taxobox/showtaxon	taxobox/@@ sho@@ w@@ tax@@ on
taxobox/taxon	taxobox/@@ tax@@ on
taxobox/taxonomy	taxobox/@@ taxonom@@ y
taxonomy	taxonom@@ y
taxonomy/acacia	taxonom@@ y/@@ a@@ ca@@ c@@ ia
taxonomy/link	taxonom@@ y/@@ link
tcfc2349	t@@ c@@ f@@ c@@ 2@@ 3@@ 4@@ 9
te	te
tea	te@@ a
teacher	te@@ a@@ cher
teachers	te@@ a@@ cher ⧺s
teachers'	te@@ ach@@ ers@@ '
teak	te@@ ak
team	te@@ am
tec-city	te@@ c@@ -@@ city
tech	te@@ ch
technetium	tech@@ ne@@ ti@@ um
technology	techno@@ logy
technology,	techno@@ log@@ y,
teen	te@@ en
teerathgarh	te@@ er@@ ath@@ garh
teesta	te@@ est@@ a
tehri	teh@@ ri
tehsil	teh@@ sil
tehsildar	teh@@ sil@@ dar
tejara	te@@ j@@ ara
tejas	te@@ ja@@ s
tejgadh	te@@ j@@ gadh
teji	te@@ ji
tel	te@@ l
