!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
"ignore	"IGNORE	_"ignore
shakoor	SHAKOOR	_shakoor
shakuni	SHAKUNI	_shakuni
shaligram	SHALIGRAM	_shaligram
shalya	SHALYA	_shalya
shamal	SHAMAL	_shamal
shambhudan	SHAMBHUDAN	_shambhudan
shameem	SHAMEEM	_shameem
shami	SHAMI	_shami
shamlaji	SHAMLAJI	_shamlaji
shamli	SHAMLI	_shamli
shane	SHANE	_shane
shani	SHANI	_shani
shankar	SHANKAR	_shankar
shankar's	SHANKAR'S	_shankar's
shankara	SHANKARA	_shankara
shankarlal	SHANKARLAL	_shankarlal
shankarpali	SHANKAR PALI	_shankar || _pali
shankersinh	SHANKERSINH	_shankersinh
shankheshwar	SHANKHESHWAR	_shankheshwar
shantanu	SHANTANU	_shantanu
shanti	SHANTI	_shanti
sharad	SHARAD	_sharad
sharan	SHARAN	_sharan
sharavati	SHARAVATI	_sharavati
sharbat	SHARBAT	_sharbat
sharda	SHARDA	_sharda
sharepoint	SHAREPOINT	_sharepoint
sharif	SHARIF	_sharif
sharma	SHARMA	_sharma
sharman	SHARMAN	_sharman
sharp	SHARP	_sharp
shashthi	SHASHTHI	_shashthi
shastra	SHASTRA	_shastra
shastri	SHASTRI	_shastri
shastriji	SHASTRIJI	_shastriji
shatabdi	SHATABDI	_shatabdi
shatapatha	SHATAPATHA	_shatapatha
shatrughna	SHATRUGHNA	_shatrughna
shatrunjaya	SHATRUNJAYA	_shatrunjaya
shaurya	SHAURYA	_shaurya
shawl	SHAWL	_shawl
shayda	SHAYDA	_shayda
shearer	SHEARER	_shearer
sheffield	SHEFFIELD	_sheffield
shehnai	SHEHNAI	_shehnai
sheikh	SHEIKH	_sheikh
sheikhpura	SHEIKHPURA	_sheikhpura
shekhar	SHEKHAR	_shekhar
shekhawat	SHEKHAWAT	_shekhawat
shelat	SHELAT	_shelat
shell	SHELL	_shell
shelters	SHELTERS	_shelters
sheohar	SHEOHAR	_sheohar
sheopur	SHEOPUR	_sheopur
sher-gil	SHER GIL	_sher || _gil
sherlock	SHER LOCK	_sher || _lock
sherpur,	SHERPUR,	_sherpur,
sheth	SHETH	_sheth
shetrunji	SHETRUNJI	_shetrunji
shetty	SHETTY	_shetty
shiamak	SHIAMAK	_shiamak
shikarpur,	SHIKARPUR,	_shikarpur,
shikhandi	SHIKHANDI	_shikhandi
shikhar	SHIKHAR	_shikhar
shikharji	SHIKHARJI	_shikharji
shikshapatri	SHIKSHAPATRI	_shikshapatri
shillong	SHILLONG	_shillong
shimla	SHIMLA	_shimla
shimoga	SHIMOGA	_shimoga
shinai,	SHINAI,	_shinai,
shinde	SHINDE	_shinde
shingnapur	SHINGNAPUR	_shingnapur
shinto	SHINTO	_shinto
ship	SHIP	_ship
shipra	SHIPRA	_shipra
shirdi	SHIRDI	_shirdi
shirish	SHIRISH	_shirish
shiromani	SHIROMANI	_shiromani
shirpur	SHIRPUR	_shirpur
shishupala	SHISHUPALA	_shishupala
shitala	SHITALA	_shitala
shiv	SHIV	_shiv
shiva	SHIVA	_shiva
shivaji	SHIVAJI	_shivaji
shivaram	SHIVARAM	_shivaram
shivaratri	SHIVARATRI	_shivaratri
shivdasani	SHIVDASANI	_shivdasani
shivji	SHIVJI	_shivji
shivkumar	SHIV KUMAR	_shiv || _kumar
shivlal	SHIVLAL	_shivlal
shivnath	SHIV NATH	_shiv || _nath
shivneri	SHIVNERI	_shivneri
shivpuri	SHIV PURI	_shiv || _puri
shivsagar	SHIV SAGAR	_shiv || _sagar
shobha	SHOBHA	_shobha
sholay	SHOLAY	_sholay
shoolpaneshwar	SHOOLPANESHWAR	_shoolpaneshwar
short	SHORT	_short
shortcut	SHORTCUT	_shortcut
shortcut/config	SHORTCUT/CONFIG	_shortcut/config
shortest	SHORTEST	_shortest
show	SHOW	_show
shraavana	SHRAAVANA	_shraavana
shravan	SHRAVAN	_shravan
shravanabelagola	SHRAVANABELAGOLA	_shravanabelagola
shravasti	SHRAVASTI	_shravasti
shree	SHREE	_shree
shreya	SHREYA	_shreya
shri	SHRI	_shri
shridharani	SHRIDHARANI	_shridharani
shrikhand	SHRIKHAND	_shrikhand
shrimad	SHRIMAD	_shrimad
shrimp	SHRIMP	_shrimp
shrinathji	SHRINATHJI	_shrinathji
shrine	SHRINE	_shrine
shripad	SHRIPAD	_shripad
shroff	SHROFF	_shroff
shrubs	SHRUBS	_shrubs
shrutakirti	SHRUTAKIRTI	_shrutakirti
shruti	SHRUTI	_shruti
shubha	SHUBHA	_shubha
shubhangi	SHUBHANGI	_shubhangi
shudra	SHUDRA	_shudra
shui	SHUI	_shui
shukla	SHUKLA	_shukla
shweta	SHWETA	_shweta
shyam	SHYAM	_shyam
shyamji	SHYAMJI	_shyamji
siaha	SIAHA	_siaha
siang	SIANG	_siang
sibynophis	SIBYNOPHIS	_sibynophis
sickle	SICKLE	_sickle
siddhagiri	SIDDHAGIRI	_siddhagiri
siddharaja	SIDDHARAJA	_siddharaja
siddharth	SIDDHARTH	_siddharth
siddharthnagar	SIDDHARTH NAGAR	_siddharth || _nagar
siddhi	SIDDHI	_siddhi
siddhidhatri	SIDDHIDHATRI	_siddhidhatri
siddhivinayak	SIDDHI VINAYAK	_siddhi || _vinayak
siddhpur	SIDDHPUR	_siddhpur
siddi	SIDDI	_siddi
side	SIDE	_side
sidebar	SIDEBAR	_sidebar
sidhi	SIDHI	_sidhi
sidhu	SIDHU	_sidhu
sidhwa	SIDHWA	_sidhwa
sidi	SIDI	_sidi
siebot	SIEBOT	_siebot
siebrand	SIEBRAND	_siebrand
siege	SIEGE	_siege
sierra	SIERRA	_sierra
siesta	SIESTA	_siesta
sig	SIG	_sig
sigiriya	SIGIRIYA	_sigiriya
sign	SIGN	_sign
signature	SIGNATURE	_signature
signatures	SIGNATURE +(s)	_signature +s
significant	SIGNIFICANT	_significant
sihor	SIHOR	_sihor
sihori	SIHORI	_sihori
siju	SIJU	_siju
sikandar	SIKANDAR	_sikandar
sikar	SIKAR	_sikar
sikh	SIKH	_sikh
sikhism	SIKHISM	_sikhism
sikhs	SIKH +(s)	_sikh +s
sikka	SIKKA	_sikka
sikka,	SIKKA,	_sikka,
sikkim	SIKKIM	_sikkim
sikra	SIKRA	_sikra
sikri	SIKRI	_sikri
silchar	SILCHAR	_silchar
silent	SILENT	_silent
silicon	SILICON	_silicon
siliguri	SILIGURI	_siliguri
silk	SILK	_silk
silvassa	SILVASSA	_silvassa
silver	SILVER	_silver
silvonenbot	SILVONENBOT	_silvonenbot
sima	SIMA	_sima
simba	SIMBA	_simba
simbad	SIMBAD	_simbad
simdega	SIMDEGA	_simdega
simlak	SIMLAK	_simlak
simon	SIMON	_simon
simple	SIMPLE	_simple
sinaloa	SINALOA	_sinaloa
sind	SIND	_sind
sindewahi	SINDEWAHI	_sindewahi
sindh	SINDH	_sindh
sindhi	SINDHI	_sindhi
sindhis	SINDHI +(s)	_sindhi +s
sindhu	SINDHU	_sindhu
sindhudurg	SINDHUDURG	_sindhudurg
sindhupalchok	SINDHUPALCHOK	_sindhupalchok
sindkheda	SIND KHEDA	_sind || _kheda
singapore	SINGAPORE	_singapore
singer	SINGER	_singer
singers	SINGER +(s)	_singer +s
singh	SINGH	_singh
singhbhum	SINGHBHUM	_singhbhum
single	SINGLE	_single
single-innings	SINGLE INNINGS	_single || _innings
singrauli	SINGRAULI	_singrauli
sinha	SINHA	_sinha
sinnar	SINNAR	_sinnar
sino-indian	SINO INDIAN	_sino || _indian
sinor	SINOR	_sinor
sins	SINS	_sins
sint	SINT	_sint
sinugra	SINUGRA	_sinugra
sion	SION	_sion
sir	SIR	_sir
sirius	SIRIUS	_sirius
sirmaur	SIRMAUR	_sirmaur
sirohi	SIROHI	_sirohi
sirpur,	SIRPUR,	_sirpur,
sirsa	SIRSA	_sirsa
sisodia	SISODIA	_sisodia
sissoo	SISSOO	_sissoo
sister	SISTER	_sister
sister-inline	SISTER INLINE	_sister || _inline
sisyphus	SISYPHUS	_sisyphus
sita	SITA	_sita
sitamarhi	SITAMARHI	_sitamarhi
sitanshu	SITANSHU	_sitanshu
sitapur	SITAPUR	_sitapur
sitar	SITAR	_sitar
site	SITE	_site
site/wikidata	SITE/WIKIDATA	_site/wikidata
sites	SITE +(s)	_site +s
sitharaman	SITHARAMAN	_sitharaman
sivaganga	SIVAGANGA	_sivaganga
sivaji	SIVAJI	_sivaji
sivaramakrishnan	SIVARAMAKRISHNAN	_sivaramakrishnan
sivasagar	SIVASAGAR	_sivasagar
siwan	SIWAN	_siwan
siwan,	SIWAN,	_siwan,
siyot	SIYOT	_siyot
sk	SK	_sk
skandamata	SKANDAMATA	_skandamata
skeleton	SKELETON	_skeleton
skepticism	SKEPTICISM	_skepticism
skrillex	SKRILLEX	_skrillex
slave	SLAVE	_slave
slavery	SLAVERY	_slavery
sleep	SLEEP	_sleep
sleeping	SLEEPING	_sleeping
sloth	SLOTH	_sloth
slovakia	SLOVAKIA	_slovakia
slovenia	SLOVENIA	_slovenia
slumdog	SLUMDOG	_slumdog
small	SMALL	_small
smallcaps	SMALLCAPS	_smallcaps
smallsup	SMALLSUP	_smallsup
smarak	SMARAK	_smarak
smith	SMITH	_smith
smoking	SMOKING	_smoking
smooth-coated	SMOOTH COATED	_smooth || _coated
smriti	SMRITI	_smriti
sms	SMS	_sms
snack	SNACK	_snack
snake	SNAKE	_snake
snakes	SNAKE +(s)	_snake +s
snooker	SNOOKER	_snooker
snow	SNOW	_snow
snowcock	SNOWCOCK	_snowcock
social	SOCIAL	_social
socialist	SOCIALIST	_socialist
society	SOCIETY	_society
sociology	SOCIOLOGY	_sociology
socrates	SOCRATES	_socrates
sodha	SODHA	_sodha
sodium	SODIUM	_sodium
soft	SOFT	_soft
softball	SOFT BALL	_soft || _ball
software	SOFTWARE	_software
sohil	SOHIL	_sohil
sohrab	SOHRAB	_sohrab
sojitra	SOJITRA	_sojitra
solan	SOLAN	_solan
solanki	SOLANKI	_solanki
solapur	SOLAPUR	_solapur
solar	SOLAR	_solar
solid	SOLID	_solid
solomon	SOLOMON	_solomon
soma	SOMA	_soma
somaiya	SOMAIYA	_somaiya
somalal	SOMALAL	_somalal
somalia	SOMALIA	_somalia
somaliland	SOMALILAND	_somaliland
someshwar	SOMESHWAR	_someshwar
somma	SOMMA	_somma
somnath	SOMNATH	_somnath
somnifera	SOMNIFERA	_somnifera
son	SON	_son
sonakshi	SONAKSHI	_sonakshi
sonal	SONAL	_sonal
sonar	SONAR	_sonar
sonariya	SONARIYA	_sonariya
sonbhadra	SONBHADRA	_sonbhadra
sondur	SONDUR	_sondur
song	SONG	_song
songadh	SONGADH	_songadh
songkran	SONGKRAN	_songkran
songs	SONG +(s)	_song +s
soni	SONI	_soni
sonia	SONIA	_sonia
sonipat	SONIPAT	_sonipat
sonipur	SONIPUR	_sonipur
sonitpur	SONITPUR	_sonitpur
sonora	SONORA	_sonora
sonpura	SONPURA	_sonpura
sonsogor	SONSOGOR	_sonsogor
sonu	SONU	_sonu
sooni	SOONI	_sooni
sophera	SOPHERA	_sophera
sophist	SOPHIST	_sophist
sorath	SORATH	_sorath
soros	SOROS	_soros
sorting	SORTING	_sorting
sosyo	SOSYO	_sosyo
soul	SOUL	_soul
soulbot	SOULBOT	_soulbot
sound	SOUND	_sound
source	SOURCE	_source
source?	SOURCE?	_source?
sources	SOURCE +(s)	_source +s
sources/core	SOURCES/CORE	_sources/core
south	SOUTH	_south
southampton	SOUTHAMPTON	_southampton
southern	SOUTHERN	_southern
sovereign	SOVEREIGN	_sovereign
sovereignty	SOVEREIGNTY	_sovereignty
soviet	SOVIET	_soviet
soxred93	SOXRED93	_soxred93
soybean	SOYBEAN	_soybean
space	SPACE	_space
spacecraft-stub	SPACECRAFT STUB	_spacecraft || _stub
spaced	SPACED	_spaced
spaces	SPACE +(s)	_space +s
spain	SPAIN	_spain
spanish	SPANISH	_spanish
spanish-language	SPANISH LANGUAGE	_spanish || _language
sparrow	SPARROW	_sparrow
speaker	SPEAKER	_speaker
speakers	SPEAKER +(s)	_speaker +s
special	SPECIAL	_special
species	SPECIES	_species
speciesbox	SPECIESBOX	_speciesbox
speciesbox/name	SPECIESBOX/NAME	_speciesbox/name
specifically	SPECIFICALLY	_specifically
spectrum	SPECTRUM	_spectrum
speculation	SPECULATION	_speculation
speed	SPEED	_speed
sperm	SPERM	_sperm
spesbona	SPESBONA	_spesbona
sphere	SPHERE	_sphere
spices	SPICES	_spices
spin	SPIN	_spin
spinach	SPINACH	_spinach
spinning	SPIN NING	_spin || _ning
spirited	SPIRITED	_spirited
spirituality	SPIRITUALITY	_spirituality
spiti	SPITI	_spiti
sport	SPORT	_sport
sports	SPORT +(s)	_sport +s
sportsperson	SPORT +(s) PERSON	_sport +s || _person
spot,	SPOT,	_spot,
spot-billed	SPOT BILLED	_spot || _billed
springsteen	SPRINGSTEEN	_springsteen
spundun	SPUNDUN	_spundun
sql	SQL	_sql
squamosa	SQUAMOSA	_squamosa
square	SQUARE	_square
squirrel	SQUIRREL	_squirrel
sr	SR	_sr
sreebot	SREEBOT	_sreebot
sreeram	SREERAM	_sreeram
sri	SRI	_sri
sriharikota	SRIHARIKOTA	_sriharikota
srikakulam	SRIKAKULAM	_srikakulam
srikalahasti	SRIKALAHASTI	_srikalahasti
srikkanth	SRIKKANTH	_srikkanth
srilankan	SRILANKAN	_srilankan
srinagar	SRINAGAR	_srinagar
srinath	SRINATH	_srinath
sringeri	SRINGERI	_sringeri
srinivasa	SRINIVASA	_srinivasa
srinivasan	SRINIVASAN	_srinivasan
srinivasaraghavan	SRINIVASARAGHAVAN	_srinivasaraghavan
ss	SS	_ss
ssr	SSR	_ssr
st	ST	_st
stack	STACK	_stack
stadium	STADIUM	_stadium
stadium,	STADIUM,	_stadium,
stalin	STALIN	_stalin
stallone	STALLONE	_stallone
stambh	STAMBH	_stambh
stambha	STAMBHA	_stambha
stamford	STAMFORD	_stamford
stamp	STAMP	_stamp
stampede	STAMPEDE	_stampede
standard	STANDARD	_standard
stanford	STANFORD	_stanford
star	STAR	_star
starfish	STAR FISH	_star || _fish
starlight	STAR LIGHT	_star || _light
starling	STARLING	_starling
starring	STAR RING	_star || _ring
stars	STAR +(s)	_star +s
start	START	_start
stat	STAT	_stat
state	STATE	_state
statements	STATEMENTS	_statements
states	STATE +(s)	_state +s
station	STATION	_station
stations	STATION +(s)	_station +s
statistics	STATISTICS	_statistics
statue	STATUE	_statue
status	STATUS	_status
steel	STEEL	_steel
steffi	STEFFI	_steffi
step-well	STEP WELL	_step || _well
stephen	STEPHEN	_stephen
stepwell	STEPWELL	_stepwell
sterling	STERLING	_sterling
stethoscope	STETHOSCOPE	_stethoscope
steve	STEVE	_steve
sthānakavāsī	STHĀNAKAVĀSĪ	_sthānakavāsī
stnlnk	STNLNK	_stnlnk
stock	STOCK	_stock
stoke	STOKE	_stoke
stone-curlew	STONE CURLEW	_stone || _curlew
stop	STOP	_stop
stork	STORK	_stork
story	STORY	_story
stotra	STOTRA	_stotra
stove	STOVE	_stove
str	STR	_str
stranger	STRANGER	_stranger
strasbourg	STRASBOURG	_strasbourg
strawberry	STRAWBERRY	_strawberry
streak-throated	STREAK THROATED	_streak || _throated
street	STREET	_street
stretched	STRETCHED	_stretched
string	STRING	_string
string-handling	STRING HANDLING	_string || _handling
string2	STRING2	_string2
striped	STRIPED	_striped
strontium	STRONTIUM	_strontium
structure	STRUCTURE	_structure
stub	STUB	_stub
stubs	STUB +(s)	_stub +s
stubtree	STUB TREE	_stub || _tree
studies	STUDIES	_studies
studio	STUDIO	_studio
stupa	STUPA	_stupa
stuttgart	STUTTGART	_stuttgart
stye	STYE	_stye
style	STYLE	_style
style/ril	STYLE/RIL	_style/ril
style/yid	STYLE/YID	_style/yid
styria	STYRIA	_styria
su	SU	_su
suaeda	SUAEDA	_suaeda
sub	SUB	_sub
subansiri	SUBANSIRI	_subansiri
subarnapur	SUBARNAPUR	_subarnapur
subarnapur,	SUBARNAPUR,	_subarnapur,
subatomic	SUBATOMIC	_subatomic
subcategories	SUBCATEGORIES	_subcategories
subcontinent	SUBCONTINENT	_subcontinent
subdatarow	SUBDATAROW	_subdatarow
subdivision	SUBDIVISION	_subdivision
subhadra	SUBHADRA	_subhadra
subhanpura	SUBHANPURA	_subhanpura
subhas	SUBHAS	_subhas
subhash	SUBHASH	_subhash
subheader	SUBHEADER	_subheader
subir	SUBIR	_subir
subject	SUBJECT	_subject
submachine	SUBMACHINE	_submachine
submarine	SUBMARINE	_submarine
submission	SUBMISSION	_submission
submission/edit	SUBMISSION/EDIT	_submission/edit
subpages	SUBPAGES	_subpages
subpunctatus	SUBPUNCTATUS	_subpunctatus
subrahmanyan	SUBRAHMANYAN	_subrahmanyan
subroto	SUBROTO	_subroto
subscription	SUBSCRIPTION	_subscription
subscription-only	SUBSCRIPTION ONLY	_subscription || _only
subst	SUBST	_subst
substitution	SUBSTITUTION	_substitution
substub	SUBSTUB	_substub
subtemplate	SUBTEMPLATE	_subtemplate
subterranean	SUBTERRANEAN	_subterranean
suburban	SUBURBAN	_suburban
suburbs	SUBURBS	_suburbs
succeeding	SUCCEEDING	_succeeding
success	SUCCESS	_success
succession	SUCCESSION	_succession
sudan	SUDAN	_sudan
sudarshana	SUDARSHANA	_sudarshana
sudasana	SUDASANA	_sudasana
sudhagad	SUDHAGAD	_sudhagad
suez	SUEZ	_suez
sufi	SUFI	_sufi
sugriva	SUGRIVA	_sugriva
suhasi	SUHASI	_suhasi
suigam	SUIGAM	_suigam
suisse	SUISSE	_suisse
suit	SUIT	_suit
suite	SUITE	_suite
sujjan	SUJJAN	_sujjan
sukhbhadar	SUKHBHADAR	_sukhbhadar
sukhdev	SUKHDEV	_sukhdev
sukhdi	SUKHDI	_sukhdi
sukhi	SUKHI	_sukhi
sukhlal	SUKHLAL	_sukhlal
sukla	SUKLA	_sukla
sukumar	SUKUMAR	_sukumar
sulayman	SULAYMAN	_sulayman
sulfur	SULFUR	_sulfur
sulochana	SULOCHANA	_sulochana
sultan	SULTAN	_sultan
sultana	SULTANA	_sultana
sultanate	SULTANATE	_sultanate
sultanpur	SULTANPUR	_sultanpur
sultanpur,	SULTANPUR,	_sultanpur,
sumali	SUMALI	_sumali
suman	SUMAN	_suman
sumati	SUMATI	_sumati
sumatinatha	SUMATINATHA	_sumatinatha
sumitra	SUMITRA	_sumitra
sumitranandan	SUMITRANANDAN	_sumitranandan
summary	SUMMARY	_summary
summer	SUMMER	_summer
summits	SUMMITS	_summits
sun	SUN	_sun
sunbird	SUNBIRD	_sunbird
sundar	SUNDAR	_sundar
sundarbans	SUNDARBANS	_sundarbans
sunday	SUNDAY	_sunday
sundergarh	SUNDERGARH	_sundergarh
sunderland	SUNDERLAND	_sunderland
sundha	SUNDHA	_sundha
sunidhi	SUNIDHI	_sunidhi
sunil	SUNIL	_sunil
sunita	SUNITA	_sunita
sunny	SUNNY	_sunny
supaul	SUPAUL	_supaul
supedi	SUPEDI	_supedi
superdeep	SUPERDEEP	_superdeep
superfast	SUPERFAST	_superfast
superstition	SUPERSTITION	_superstition
suppressed	SUPPRESSED	_suppressed
supreme	SUPREME	_supreme
supriya	SUPRIYA	_supriya
sur	SUR	_sur
surat	SURAT	_surat
surdas	SURDAS	_surdas
surendranagar	SURENDRANAGAR	_surendranagar
surendranath	SURENDRANATH	_surendranath
suresh	SURESH	_suresh
surgana	SURGANA	_surgana
surguja	SURGUJA	_surguja
suri,	SURI,	_suri,
suriname	SURINAME	_suriname
surinder	SURINDER	_surinder
surkhet	SURKHET	_surkhet
surkotada	SURKOTADA	_surkotada
surrealism	SURREALISM	_surrealism
sursagar	SURSAGAR	_sursagar
surti	SURTI	_surti
surya	SURYA	_surya
suryavansha	SURYAVANSHA	_suryavansha
suryavarman	SURYAVARMAN	_suryavarman
susan	SUSAN	_susan
sushma	SUSHMA	_sushma
sushruta	SUSHRUTA	_sushruta
sustainable	SUSTAINABLE	_sustainable
suthari	SUTHARI	_suthari
sutra	SUTRA	_sutra
sutrapada	SUTRAPADA	_sutrapada
sutras	SUTRA +(s)	_sutra +s
suvali	SUVALI	_suvali
suvarna	SUVARNA	_suvarna
suvi	SUVI	_suvi
suzlon	SUZLON	_suzlon
suzuki	SUZUKI	_suzuki
sv	SV	_sv
svami	SVAMI	_svami
svara	SVARA	_svara
svādhyāya	SVĀDHYĀYA	_svādhyāya
sw	SW	_sw
swadeshi	SWADESHI	_swadeshi
swadhyay	SWADHYAY	_swadhyay
swallow	SWALLOW	_swallow
swami	SWAMI	_swami
swaminarayan	SWAMI NARAYAN	_swami || _narayan
swan	SWAN	_swan
swansea	SWANSEA	_swansea
swarachakra	SWARACHAKRA	_swarachakra
swaraj	SWARAJ	_swaraj
swargarohini	SWARGAROHINI	_swargarohini
swarghat	SWARGHAT	_swarghat
swaroop	SWAROOP	_swaroop
swartz	SWARTZ	_swartz
swastika	SWASTIKA	_swastika
swat	SWAT	_swat
sweden	SWEDEN	_sweden
swedish	SWEDISH	_swedish
sweet	SWEET	_sweet
swertia	SWERTIA	_swertia
swetha	SWETHA	_swetha
swine	SWINE	_swine
switcher	SWITCHER	_switcher
switzerland	SWITZERLAND	_switzerland
sword	SWORD	_sword
syangja	SYANGJA	_syangja
sydney	SYDNEY	_sydney
syed	SYED	_syed
syiem	SYIEM	_syiem
sylvester	SYLVESTER	_sylvester
symbiosis	SYMBIOSIS	_symbiosis
symbol	SYMBOL	_symbol
symbols	SYMBOL +(s)	_symbol +s
symonds	SYMONDS	_symonds
syndrome	SYNDROME	_syndrome
synonyms	SYNONYMS	_synonyms
syntax	SYNTAX	_syntax
syphilis	SYPHILIS	_syphilis
syria	SYRIA	_syria
system	SYSTEM	_system
systems	SYSTEM +(s)	_system +s
syzygium	SYZYGIUM	_syzygium
syādvāda	SYĀDVĀDA	_syādvāda
são	SÃO	_são
søby	SØBY	_søby
t	T	_t
t.	T.	_t.
ta	TA	_ta
taal	TAAL	_taal
taarak	TAARAK	_taarak
tabacum	TABACUM	_tabacum
tabasco	TABASCO	_tabasco
tabla	TABLA	_tabla
table	TABLE	_table
table-experimental	TABLE EXPERIMENTAL	_table || _experimental
tabletools	TABLE TOOL +(s)	_table || _tool +s
tabo,	TABO,	_tabo,
tabot-zerem	TABOT ZEREM	_tabot || _zerem
tacloban	TACLOBAN	_tacloban
tacuarembó	TACUAREMBÓ	_tacuarembó
tadiranscopus	TADIRANSCOPUS	_tadiranscopus
taekwondo	TAEKWONDO	_taekwondo
tag	TAG	_tag
tagore	TAGORE	_tagore
tags	TAG +(s)	_tag +s
tai	TAI	_tai
taichi	TAICHI	_taichi
tailorbird	TAILORBIRD	_tailorbird
taiwan	TAIWAN	_taiwan
taj	TAJ	_taj
tajik	TAJIK	_tajik
tajikistan	TAJIKISTAN	_tajikistan
tak	TAK	_tak
takaaki	TAKAAKI	_takaaki
takhatgadh	TAKHATGADH	_takhatgadh
takht	TAKHT	_takht
takht-i-bahi	TAKHT I BAHI	_takht || _i || _bahi
takia	TAKIA	_takia
tal	TAL	_tal
talaja	TALAJA	_talaja
talala,	TALALA,	_talala,
talati	TALATI	_talati
tale	TALE	_tale
taliban	TALIBAN	_taliban
taliperu	TALIPERU	_taliperu
taliyara	TALIYARA	_taliyara
talk	TALK	_talk
talkatora	TALKATORA	_talkatora
talkback	TALK BACK	_talk || _back
talod	TALOD	_talod
talode	TALODE	_talode
talpada	TALPADA	_talpada
taluka	TALUKA	_taluka
talukas	TALUKA +(s)	_taluka +s
talvana	TALVANA	_talvana
tamarind	TAMARIND	_tamarind
tamaulipas	TAMAULIPAS	_tamaulipas
tambourine	TAMBOURINE	_tambourine
tamda	TAMDA	_tamda
tamenglong	TAMENGLONG	_tamenglong
tamil	TAMIL	_tamil
tamil-language	TAMIL LANGUAGE	_tamil || _language
tamils	TAMIL +(s)	_tamil +s
tamluk	TAMLUK	_tamluk
tammileru	TAMMILERU	_tammileru
tamsa	TAMSA	_tamsa
tanahun	TANAHUN	_tanahun
tandava	TANDAVA	_tandava
tangaliya	TANGALIYA	_tangaliya
tanganyika	TANGANYIKA	_tanganyika
tanggula	TANGGULA	_tanggula
tank	TANK	_tank
tankai	TANKAI	_tankai
tankara	TANKARA	_tankara
tansa	TANSA	_tansa
tansen	TANSEN	_tansen
tantalum	TANTALUM	_tantalum
tantia	TANTIA	_tantia
tanushree	TANUSHREE	_tanushree
tanwar	TANWAR	_tanwar
tanzania	TANZANIA	_tanzania
tao	TAO	_tao
taoism	TAOISM	_taoism
tapan	TAPAN	_tapan
tapi	TAPI	_tapi
tapkeshwari	TAPKESHWARI	_tapkeshwari
tapti	TAPTI	_tapti
tara	TARA	_tara
tarabai	TARABAI	_tarabai
taragarh	TARAGARH	_taragarh
taran	TARAN	_taran
taranga	TARANGA	_taranga
tarapore	TARAPORE	_tarapore
taraporevala	TARAPORE VALA	_tarapore || _vala
tarapur,	TARAPUR,	_tarapur,
tarasadi	TARASADI	_tarasadi
tarla	TARLA	_tarla
tarn	TARN	_tarn
tarnetar	TARNETAR	_tarnetar
tarsadia	TARSADIA	_tarsadia
tarsali	TARSALI	_tarsali
tarsier	TARSIER	_tarsier
tashkent	TASHKENT	_tashkent
tasman	TASMAN	_tasman
tata	TATA	_tata
tataka	TATAKA	_tataka
tattvartha	TATTVARTHA	_tattvartha
taurus	TAURUS	_taurus
tavi	TAVI	_tavi
tavor	TAVOR	_tavor
tawa	TAWA	_tawa
tawang	TAWANG	_tawang
tawi	TAWI	_tawi
tawny-bellied	TAWNY BELLIED	_tawny || _bellied
tawrat	TAWRAT	_tawrat
taxobox	TAXOBOX	_taxobox
taxobox/displayed	TAXOBOX/DISPLAYED	_taxobox/displayed
taxobox/error	TAXOBOX/ERROR	_taxobox/error
taxobox/floating	TAXOBOX/FLOATING	_taxobox/floating
taxobox/italics	TAXOBOX/ITALICS	_taxobox/italics
taxobox/showtaxon	TAXOBOX/SHOWTAXON	_taxobox/showtaxon
taxobox/taxon	TAXOBOX/TAXON	_taxobox/taxon
taxobox/taxonomy	TAXOBOX/TAXONOMY	_taxobox/taxonomy
taxonomy	TAXONOMY	_taxonomy
taxonomy/acacia	TAXONOMY/ACACIA	_taxonomy/acacia
taxonomy/link	TAXONOMY/LINK	_taxonomy/link
tcfc2349	TCFC2349	_tcfc2349
te	TE	_te
tea	TEA	_tea
teacher	TEACHER	_teacher
teachers	TEACHER +(s)	_teacher +s
teachers'	TEACHERS'	_teachers'
teak	TEAK	_teak
team	TEAM	_team
tec-city	TEC CITY	_tec || _city
tech	TECH	_tech
technetium	TECHNETIUM	_technetium
technology	TECHNOLOGY	_technology
technology,	TECHNOLOGY,	_technology,
teen	TEEN	_teen
teerathgarh	TEERATHGARH	_teerathgarh
teesta	TEESTA	_teesta
tehri	TEHRI	_tehri
tehsil	TEHSIL	_tehsil
tehsildar	TEHSILDAR	_tehsildar
tejara	TEJARA	_tejara
tejas	TEJAS	_tejas
tejgadh	TEJGADH	_tejgadh
teji	TEJI	_teji
tel	TEL	_tel
telangana	TELANGANA	_telangana
telecommunications	TELECOMMUNICATIONS	_telecommunications
telefilms	TELEFILMS	_telefilms
telescope	TELESCOPE	_telescope
television	TELEVISION	_television
telineelapuram	TELINEELAPURAM	_telineelapuram
teller	TELLER	_teller
tellurium	TELLURIUM	_tellurium
telnar	TELNAR	_telnar
telugu	TELUGU	_telugu
telukunchi	TELUKUNCHI	_telukunchi
tembrungharta	TEMBRUNGHARTA	_tembrungharta
temperature	TEMPERATURE	_temperature
templar	TEMPLAR	_templar
template	TEMPLATE	_template
templatedata	TEMPLATE DATA	_template || _data
