!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
ધિરાણનું	ધિ@@ રાણ@@ નું
નિહારિકા	નિ@@ હાર@@ િકા
પરિયોજના	પર@@ િયો@@ જના
મનસુખલાલ	મન@@ સુખ@@ લાલ
માન્યતાઓ	મા@@ ન્ય@@ તાઓ
મેમોરિયલ	મે@@ મોર@@ િયલ
રોમાનિયા	રો@@ માન@@ િયા
વિધાનસભા	વિ@@ ધાન@@ સભા
વિમાનમથક	વિ@@ માન@@ મથક
વિસ્તારો	વિ@@ સ્ત@@ ારો
શીકારપુર	શી@@ કાર@@ પુર
શુક્રવાર	શુ@@ ક્ર@@ વાર
સિંગાપુર	સિ@@ ંગા@@ પુર
સિંગાપોર	સિ@@ ંગા@@ પોર
સુપ્રિયા	સુ@@ પ્ર@@ િયા
સોનારીયા	સો@@ નાર@@ ીયા
સ્યાદવાદ	સ્@@ યાદ@@ વાદ
હાર્ડવેર	હા@@ ર્ડ@@ વેર
એસક્યુએલ	એસ@@ ક્યુ@@ એ@@ લ
પિત્તાશય	પિ@@ ત્તા@@ શ@@ ય
રેકોર્ડર	રે@@ કોર્@@ ડ@@ ર
વિજ્ઞાપન	વિ@@ જ્ઞા@@ પ@@ ન
અંકોલાળી	અં@@ કોલા@@ ળી
કાટવર્ણી	કા@@ ટવર્@@ ણી
કેન્યાનો	કે@@ ન્યા@@ નો
ગેસ્ટાપો	ગે@@ સ્ટા@@ પો
જાકાર્તા	જા@@ કાર્@@ તા
ટેમ્પ્લર	ટે@@ મ્પ્@@ લર
દાત્રાણા	દા@@ ત્રા@@ ણા
દિબ્રુગઢ	દિ@@ બ્રુ@@ ગઢ
નવદુર્ગા	નવ@@ દુર્@@ ગા
મેટ્રોના	મે@@ ટ્રો@@ ના
મોહિન્દર	મો@@ હિન્@@ દર
શીપ્રાગા	શી@@ પ્રા@@ ગા
સેમ્યુઅલ	સે@@ મ્યુ@@ અલ
કાસ્ટ્રો	કા@@ સ્ટ્ર@@ ો
કેલેન્ડર	કે@@ લેન્ડ@@ ર
ગણતંત્રો	ગણ@@ તંત્ર@@ ો
મુન્દ્રા	મુ@@ ન્દ્ર@@ ા
કમલેશ્વર	કમ@@ લેશ્વર
ગોસ્વામી	ગો@@ સ્વામી
જયપ્રકાશ	જય@@ પ્રકાશ
બાલેશ્વર	બા@@ લેશ્વર
બિલેશ્વર	બિ@@ લેશ્વર
મોવેમ્બર	મો@@ વેમ્બર
ગ્રેનવિલ	ગ્ર@@ ે@@ ન@@ વિ@@ લ
દ્રુહ્યુ	દ્ર@@ ુ@@ હ@@ ્ય@@ ુ
બ્રોમવિચ	બ્ર@@ ો@@ મ@@ વિ@@ ચ
મુખપૃષ્ઠ	મુખ@@ પ@@ ૃ@@ ષ્@@ ઠ
ક્રાઇસ્ટ	ક્ર@@ ા@@ ઇ@@ સ્ટ
ફ્રેડરિક	ફ્ર@@ ે@@ ડ@@ રિક
મહાબતખાન	મહા@@ બ@@ ત@@ ખાન
મહિષાસુર	મહિ@@ ષ@@ ા@@ સુર
સંગીતકાર	સંગ@@ ી@@ ત@@ કાર
સ્થાપત્ય	સ્થ@@ ા@@ પ@@ ત્ય
ન્યૂકેસલ	ન્ય@@ ૂ@@ કે@@ સ@@ લ
અર્ધધાતુ	અર્@@ ધ@@ ધા@@ તુ
ઉત્પત્તિ	ઉત્@@ પ@@ ત્@@ તિ
ક્ષારાતુ	ક્ષ@@ ા@@ રા@@ તુ
ચંદેરીનો	ચંદ@@ ે@@ રી@@ નો
ત્રૈકુટક	ત્ર@@ ૈ@@ કુ@@ ટક
નંદાકિની	નંદ@@ ા@@ કિ@@ ની
નારીચાણા	નાર@@ ી@@ ચા@@ ણા
માછીમારી	માછ@@ ી@@ મા@@ રી
લોકસભાના	લોક@@ સ@@ ભા@@ ના
સાંઇબાબા	સાં@@ ઇ@@ બા@@ બા
અભિમન્યુ	અભિ@@ મ@@ ન્ય@@ ુ
કુંભકર્ણ	કું@@ ભ@@ કર્@@ ણ
નામગ્યાલ	નામ@@ ગ@@ ્યા@@ લ
પ્રચક્રણ	પ્ર@@ ચ@@ ક્ર@@ ણ
બ્રોમાઇડ	બ્ર@@ ો@@ માઇ@@ ડ
સપ્તર્ષિ	સપ્@@ ત@@ ર્ષ@@ િ
આર્યભટ્ટ	આર્@@ ય@@ ભટ્ટ
ખંડેરિયા	ખંડ@@ ે@@ રિયા
ખાંડવાળા	ખાં@@ ડ@@ વાળા
નંદાદેવી	નંદ@@ ા@@ દેવી
ફતેહસિંહ	ફતે@@ હ@@ સિંહ
બોરતવાડા	બોર@@ ત@@ વાડા
માધવસિંહ	માધ@@ વ@@ સિંહ
રાયબરેલી	રાય@@ બ@@ રેલી
સ્ટુડિયો	સ્ટ@@ ુ@@ ડિયો
અનુયાયીઓ	અનુ@@ યા@@ ય@@ ીઓ
કલ્યાણજી	કલ્@@ યા@@ ણ@@ જી
ક્ષમાવણી	ક્ષ@@ મા@@ વ@@ ણી
છત્તિસગઢ	છત્@@ તિ@@ સ@@ ગઢ
ત્રિયુગી	ત્ર@@ િય@@ ુ@@ ગી
પંચશીલના	પંચ@@ શી@@ લ@@ ના
પ્રતાપગઢ	પ્ર@@ તા@@ પ@@ ગઢ
પ્રિયંકા	પ્ર@@ િય@@ ં@@ કા
મહાસાગરો	મહા@@ સા@@ ગ@@ રો
રાજપીપલા	રાજ@@ પી@@ પ@@ લા
વર્તુળની	વર્@@ તુ@@ ળ@@ ની
વર્તુળનો	વર્@@ તુ@@ ળ@@ નો
સુરકોટડા	સુર@@ કો@@ ટ@@ ડા
આલ્કોહોલ	આલ્@@ કો@@ હો@@ લ
ઇસ્લામીક	ઇસ્@@ લા@@ મી@@ ક
એન્ટિગુઆ	એન્@@ ટિ@@ ગુ@@ આ
એલિઝાબેથ	એલિ@@ ઝા@@ બે@@ થ
કાચબરંગી	કાચ@@ બર@@ ંગ@@ ી
ચરિતામૃત	ચરિ@@ તા@@ મૃ@@ ત
નવલકિશોર	નવલ@@ કિ@@ શો@@ ર
પર્યાવરણ	પર્@@ યા@@ વર@@ ણ
પ્રફુલ્લ	પ્ર@@ ફુ@@ લ્@@ લ
પ્રભુપાદ	પ્ર@@ ભુ@@ પા@@ દ
બોરદોલોઈ	બોર@@ દો@@ લો@@ ઈ
ભારદ્વાજ	ભાર@@ દ્@@ વા@@ જ
મર્યાદિત	મર્@@ યા@@ દિ@@ ત
માલદીવ્સ	માલ@@ દી@@ વ્@@ સ
રમાકાન્ત	રમા@@ કા@@ ન્@@ ત
રાજધાનીઓ	રાજ@@ ધા@@ ની@@ ઓ
લક્કડખોદ	લક્@@ કડ@@ ખો@@ દ
શિવલીંગી	શિવ@@ લી@@ ંગ@@ ી
સર્વોચ્ચ	સર્@@ વો@@ ચ્@@ ચ
સ્વચાલિત	સ્વ@@ ચા@@ લિ@@ ત
અનિરુદ્ધ	અનિ@@ રુ@@ દ્ધ
અનુભવવાદ	અનુ@@ ભવ@@ વાદ
અનુસંધાન	અનુ@@ સં@@ ધાન
અલ્પાહાર	અલ્@@ પા@@ હાર
અલ્હાબાદ	અલ્@@ હા@@ બાદ
આદિલાબાદ	આદિ@@ લા@@ બાદ
આર્નોલ્ડ	આર્@@ નો@@ લ્ડ
ઇન્દુલાલ	ઇન્@@ દુ@@ લાલ
ઇસ્લામિક	ઇસ્@@ લા@@ મિક
કાંકરિયા	કાં@@ કર@@ િયા
કાનજીભાઇ	કાન@@ જી@@ ભાઇ
કાનપરિયા	કાન@@ પર@@ િયા
કામસૂત્ર	કામ@@ સૂ@@ ત્ર
કારખાનું	કાર@@ ખા@@ નું
કુંથુનાથ	કું@@ થુ@@ નાથ
જવાહરનગર	જવા@@ હર@@ નગર
જવાહરલાલ	જવા@@ હર@@ લાલ
જહાનાબાદ	જહા@@ ના@@ બાદ
ઝારસુગડા	ઝાર@@ સુ@@ ગડા
તુલસીદાસ	તુલ@@ સી@@ દાસ
પંચકેદાર	પંચ@@ કે@@ દાર
પ્રજાપતિ	પ્ર@@ જા@@ પતિ
બ્રસેલ્સ	બ્ર@@ સે@@ લ્સ
મલ્લિનાથ	મલ્@@ લિ@@ નાથ
મહાવિરામ	મહા@@ વિ@@ રામ
મહાસમન્દ	મહા@@ સમ@@ ન્દ
મહીપતરામ	મહી@@ પત@@ રામ
માધ્યમિક	માધ@@ ્ય@@ મિક
રાજનીતિક	રાજ@@ ની@@ તિક
રાજસમન્દ	રાજ@@ સમ@@ ન્દ
લક્કુંડી	લક્@@ કુ@@ ંડી
લોકમાન્ય	લોક@@ મા@@ ન્ય
વડોદરિયા	વડો@@ દર@@ િયા
વર્મોન્ટ	વર્@@ મો@@ ન્ટ
વાંકાનેર	વાં@@ કા@@ નેર
શહેરીકરણ	શહે@@ રી@@ કરણ
સર્વાનંદ	સર્@@ વા@@ નંદ
સ્વસ્તિક	સ્વ@@ સ્@@ તિક
આલ્ફ્રેડ	આલ્@@ ફ્ર@@ ે@@ ડ
મહાપ્રભુ	મહા@@ પ્ર@@ ભ@@ ુ
માલદિવ્સ	માલ@@ દિવ@@ ્@@ સ
આલ્બર્ટો	આલ્@@ બર્@@ ટો
કાનપુરનો	કાન@@ પુર@@ નો
ગ્રહરિપુ	ગ્ર@@ હરિ@@ પુ
ઝારખંડના	ઝાર@@ ખંડ@@ ના
દેવનાગરી	દેવ@@ નાગ@@ રી
નવલપરાસી	નવલ@@ પરા@@ સી
પરિક્રમા	પરિ@@ ક્ર@@ મા
બોરીયાવી	બોર@@ ીયા@@ વી
મંડીયાલી	મંડ@@ ીયા@@ લી
મણિરત્નમ	મણિ@@ રત્@@ નમ
રંગપંચમી	રંગ@@ પંચ@@ મી
રાજકારણી	રાજ@@ કાર@@ ણી
રાજ્યોના	રાજ@@ ્યો@@ ના
રાજ્યોની	રાજ@@ ્યો@@ ની
સમાજવાદી	સમા@@ જવા@@ દી
સ્વચ્છતા	સ્વ@@ ચ્છ@@ તા
હનુમાનગઢ	હનુ@@ માન@@ ગઢ
હેમિલ્ટન	હેમ@@ િલ્@@ ટન
ક્ષત્રિય	ક્ષ@@ ત્રિ@@ ય
પરિક્ષિત	પરિ@@ ક્ષિ@@ ત
પ્રસ્તુત	પ્ર@@ સ્તુ@@ ત
શિવગંગાઇ	શિવ@@ ગંગા@@ ઇ
હરિવલ્લભ	હરિ@@ વલ્લ@@ ભ
અંગ્રેજી	અંગ@@ ્રેજી
ઇન્ટરનેટ	ઇન્@@ ટરનેટ
ઈન્ટરનેટ	ઈન્@@ ટરનેટ
ઉપાધ્યાય	ઉપા@@ ધ્યાય
કારેશ્વર	કાર@@ ેશ્વર
કોરિયાનો	કોર@@ િયાનો
ગુરબચ્ચન	ગુર@@ બચ્ચન
પંચતંત્ર	પંચ@@ તંત્ર
મણિપુરના	મણિ@@ પુરના
મહેન્દ્ર	મહે@@ ન્દ્ર
રવિન્દ્ર	રવિ@@ ન્દ્ર
રાજચંદ્ર	રાજ@@ ચંદ્ર
રાજમાર્ગ	રાજ@@ માર્ગ
રામકૃષ્ણ	રામ@@ કૃષ્ણ
લાલકૃષ્ણ	લાલ@@ કૃષ્ણ
લોકનૃત્ય	લોક@@ નૃત્ય
શિવકુમાર	શિવ@@ કુમાર
શિવમંદિર	શિવ@@ મંદિર
હરિકૃષ્ણ	હરિ@@ કૃષ્ણ
હરીન્દ્ર	હરી@@ ન્દ્ર
હેમચંદ્ર	હેમ@@ ચંદ્ર
પૂર્ણિમા	પૂર્@@ ણ@@ િ@@ મા
કુમારપાળ	કુમા@@ ર@@ પા@@ ળ
જ્ઞાનકોશ	જ્ઞા@@ ન@@ કો@@ શ
તિરુવરુર	તિરુ@@ વ@@ રુ@@ ર
ફિલ્મફેર	ફિલ્@@ મ@@ ફે@@ ર
માર્જરિન	માર્@@ જ@@ રિ@@ ન
સ્ટેચ્યુ	સ્ટે@@ ચ@@ ્ય@@ ુ
અક્ષરધામ	અક્ષ@@ ર@@ ધામ
અમૃતધારા	અમૃત@@ ધ@@ ારા
ઉત્તમભાઈ	ઉત્ત@@ મ@@ ભાઈ
ક્યુરીયમ	ક્યુ@@ ર@@ ીયમ
ક્રોહનનો	ક્રો@@ હ@@ નનો
ખંભાળિયા	ખંભા@@ ળ@@ િયા
ગુલાબદાસ	ગુલા@@ બ@@ દાસ
ગ્રાઉન્ડ	ગ્રા@@ ઉ@@ ન્ડ
જ્ઞાનપીઠ	જ્ઞા@@ ન@@ પીઠ
ત્યાગરાજ	ત્યા@@ ગ@@ રાજ
ત્રિજ્યા	ત્રિ@@ જ@@ ્યા
પક્ષીઓની	પક્ષ@@ ી@@ ઓની
પાંડુરંગ	પાંડ@@ ુ@@ રંગ
પુરાતત્વ	પુરા@@ ત@@ ત્વ
પૂર્ણિયા	પૂર્@@ ણ@@ િયા
પ્રાણકોટ	પ્રા@@ ણ@@ કોટ
પ્રાથમિક	પ્રા@@ થ@@ મિક
પ્રિફર્ડ	પ્રિ@@ ફ@@ ર્ડ
પ્રેમચંદ	પ્રે@@ મ@@ ચંદ
બ્રાઈમોર	બ્રા@@ ઈ@@ મોર
બ્રેડમેન	બ્રે@@ ડ@@ મેન
મુંબઈનાં	મુંબ@@ ઈ@@ નાં
મ્યુજીયમ	મ્યુ@@ જ@@ ીયમ
મ્યુઝિયમ	મ્યુ@@ ઝ@@ િયમ
યુરોપનાં	યુરો@@ પ@@ નાં
યુરોપિયમ	યુરો@@ પ@@ િયમ
વલ્લભભાઈ	વલ્લ@@ ભ@@ ભાઈ
સાહિબગંજ	સાહિ@@ બ@@ ગંજ
સુરેશભાઈ	સુરે@@ શ@@ ભાઈ
સોફ્ટબોલ	સોફ્@@ ટ@@ બોલ
સોફ્ટવેર	સોફ્@@ ટ@@ વેર
ગુરુનાનક	ગુરુ@@ ના@@ ન@@ ક
પ્રોડિજિ	પ્રો@@ ડિ@@ જ@@ િ
ભદ્રબાહુ	ભદ્ર@@ બા@@ હ@@ ુ
સ્વાર્ટઝ	સ્વા@@ ર્@@ ટ@@ ઝ
અંબાલિકા	અંબા@@ લિ@@ કા
કાર્નેગી	કાર્@@ ને@@ ગી
કાશ્મીરી	કાશ્@@ મી@@ રી
ક્યુબાનો	ક્યુ@@ બા@@ નો
ક્રિસ્ટી	ક્રિ@@ સ્@@ ટી
ખંભાલીડા	ખંભા@@ લી@@ ડા
ત્રિપાઠી	ત્રિ@@ પા@@ ઠી
ત્રિપિટક	ત્રિ@@ પિ@@ ટક
ત્રિવેણી	ત્રિ@@ વે@@ ણી
દિલ્હીના	દિલ્@@ હી@@ ના
દિલ્હીનો	દિલ્@@ હી@@ નો
દુર્યોધન	દુર્@@ યો@@ ધન
દુર્વાસા	દુર્@@ વા@@ સા
દ્વિનામી	દ્વિ@@ ના@@ મી
ધર્મશાલા	ધર્મ@@ શા@@ લા
નિર્વાચન	નિર્@@ વા@@ ચન
ન્યાયાલય	ન્યા@@ યા@@ લય
પદ્મપાણી	પદ્મ@@ પા@@ ણી
પદ્મભૂષણ	પદ્મ@@ ભૂ@@ ષણ
પ્રિન્ટર	પ્રિ@@ ન્@@ ટર
પ્રોફાઇલ	પ્રો@@ ફા@@ ઇલ
ફિલ્મોની	ફિલ્@@ મો@@ ની
બ્રાન્ડી	બ્રા@@ ન્@@ ડી
બ્રાહ્મણ	બ્રા@@ હ્@@ મણ
બ્રાહ્મી	બ્રા@@ હ્@@ મી
બ્રેર્લી	બ્રે@@ ર્@@ લી
યુનિલિવર	યુનિ@@ લિ@@ વર
રામાનુજન	રામા@@ નુ@@ જન
રામાફોસા	રામા@@ ફો@@ સા
લેન્થેનમ	લેન્@@ થે@@ નમ
વિકિડેટા	વિકિ@@ ડે@@ ટા
વિનોદિની	વિનો@@ દિ@@ ની
વિશ્લેષણ	વિશ્@@ લે@@ ષણ
સંસ્કરણો	સંસ્@@ કર@@ ણો
સંહિતાની	સંહિ@@ તા@@ ની
સત્યભામા	સત્ય@@ ભા@@ મા
હિમાલયના	હિમા@@ લય@@ ના
ક્રિસ્ટલ	ક્રિ@@ સ્ટ@@ લ
ક્ષિપ્રા	ક્ષિ@@ પ્ર@@ ા
દ્વિસંગી	દ્વિ@@ સંગ@@ ી
પદ્મપ્રભ	પદ્મ@@ પ્ર@@ ભ
રક્તચંદન	રક્ત@@ ચંદ@@ ન
રક્તસમુહ	રક્ત@@ સમુ@@ હ
વ્યવસાયો	વ્યવ@@ સાય@@ ો
સીતારામન	સીતા@@ રામ@@ ન
ઉત્તરાયણ	ઉત્ત@@ રાયણ
ક્ષેત્રી	ક્ષે@@ ત્રી
જ્ઞાનપુર	જ્ઞા@@ નપુર
ડુંગરપુર	ડુંગ@@ રપુર
ત્રિપુરા	ત્રિ@@ પુરા
દ્વિવેદી	દ્વિ@@ વેદી
ધર્મપુરી	ધર્મ@@ પુરી
નિર્માતા	નિર્@@ માતા
પદ્મશ્રી	પદ્મ@@ શ્રી
બાલાશંકર	બાલા@@ શંકર
ભદ્રકાલી	ભદ્ર@@ કાલી
ભાષાસમૂહ	ભાષા@@ સમૂહ
વાંસવાડા	વાંસ@@ વાડા
વિજયવાડા	વિજય@@ વાડા
વિજેન્દર	વિજે@@ ન્દર
શ્રીકાંત	શ્રી@@ કાંત
અમેરિકનો	અમેરિ@@ ક@@ નો
ચંદ્રવદન	ચંદ્ર@@ વ@@ દન
ચિત્રકળા	ચિત્ર@@ ક@@ ળા
પ્રસાધનો	પ્રસા@@ ધ@@ નો
પ્રાંસલી	પ્રાં@@ સ@@ લી
ચિત્રકૂટ	ચિત્ર@@ કૂ@@ ટ
પ્રાંતિજ	પ્રાં@@ તિ@@ જ
વિશ્વકોશ	વિશ્વ@@ કો@@ શ
શ્યામમુખ	શ્યામ@@ મુ@@ ખ
શ્યામશીર	શ્યામ@@ શી@@ ર
સિદ્ધાંત	સિદ્ધ@@ ાં@@ ત
અભિનેતાઓ	અભિને@@ તાઓ
કૃષ્ણદાસ	કૃષ્ણ@@ દાસ
કૃષ્ણલાલ	કૃષ્ણ@@ લાલ
ગાંધીધામ	ગાંધી@@ ધામ
ચંદ્રતાલ	ચંદ્ર@@ તાલ
ચંદ્રપૂર	ચંદ્ર@@ પૂર
દરિયાપુર	દરિયા@@ પુર
રાજ્યમાં	રાજ્ય@@ માં
રુદ્રનાથ	રુદ્ર@@ નાથ
રુદ્રપુર	રુદ્ર@@ પુર
વિશ્વનાથ	વિશ્વ@@ નાથ
શ્યામલાલ	શ્યામ@@ લાલ
સિદ્ધપુર	સિદ્ધ@@ પુર
સિદ્ધરાજ	સિદ્ધ@@ રાજ
ક્રિકેટર	ક્રિકે@@ ટર
ગુજરાતની	ગુજરાત@@ ની
ગુજરાતનો	ગુજરાત@@ નો
જિલ્લાના	જિલ્લા@@ ના
માહિતીનો	માહિતી@@ નો
રાજસ્થાન	રાજસ્થ@@ ાન
વન્યજીવો	વન્યજી@@ વો
શ્રીલંકન	શ્રીલં@@ કન
અભયારણ્ય	અભયારણ્ય
ગાંધીનગર	ગાંધીનગર
ગુજરાતના	ગુજરાતના
છત્તીસગઢ	છત્તીસગઢ
ડિસેમ્બર	ડિસેમ્બર
ત્રિવેદી	ત્રિવેદી
પુરસ્કાર	પુરસ્કાર
પ્રદેશના	પ્રદેશના
યુનાઇટેડ	યુનાઇટેડ
વન્યજીવન	વન્યજીવન
વિદ્યાલય	વિદ્યાલય
શાસ્ત્રી	શાસ્ત્રી
શ્રીલંકા	શ્રીલંકા
સંપ્રદાય	સંપ્રદાય
સંસ્કૃતિ	સંસ્કૃતિ
સ્ટેડિયમ	સ્ટેડિયમ
એટલાન્ટા,	એ@@ ટ@@ લા@@ ન્@@ ટા@@ ,
ચૌટાબજાર,	ચૌ@@ ટા@@ બ@@ જ@@ ાર@@ ,
બૌદ્ધનાથ,	બૌ@@ દ્@@ ધ@@ નાથ@@ ,
દેવીકુલમ,	દે@@ વી@@ કુ@@ લ@@ મ,
હોસ્પિટલ,	હો@@ સ્@@ પિ@@ ટ@@ લ,
ઔરંગાબાદ,	ઔર@@ ંગા@@ બા@@ દ@@ ,
અર્ધગિરિ,	અર્@@ ધ@@ ગિ@@ રિ@@ ,
કોલંબિયા,	કોલ@@ ંબ@@ િયા@@ ,
સ્વારઘાટ,	સ્વા@@ ર@@ ઘાટ,
સ્ટેડિયમ,	સ્ટેડ@@ િય@@ મ,
ચંદ્રયાન-૧	ચંદ્ર@@ યા@@ ન-@@ ૧
ચંદ્રયાન-૨	ચંદ્ર@@ યા@@ ન-@@ ૨
નાગોર્નો-કરબાખ	ના@@ ગો@@ ર્@@ નો@@ -@@ કર@@ બા@@ ખ
ગાંધીધામ-પાલનપુર	ગાંધી@@ ધા@@ મ@@ -@@ પાલનપુર
પુરસ્કાર-ગુજરાતી	પુરસ્કાર@@ -@@ ગુજરાતી
વિચ્છેદન-વિશ્લેષણ	વિ@@ ચ્છ@@ ે@@ દ@@ ન-@@ વિશ્@@ લે@@ ષણ
કોંગ્રેસ/મેટા/રંગ	કો@@ ંગ@@ ્રે@@ સ@@ /@@ મે@@ ટા@@ /@@ રંગ
ટ્વેન્ટી20	ટ@@ ્વ@@ ે@@ ન્@@ ટી@@ 2@@ 0
પરિયોજના:	પર@@ િયો@@ જ@@ ના@@ :
राष्ट्रीय	र@@ ा@@ ष@@ ्@@ ट@@ ्@@ र@@ ी@@ य
રૅનબૅક્સી	ર@@ ૅ@@ ન@@ બ@@ ૅ@@ ક્@@ સી
હૃદયરોગનો	હ@@ ૃ@@ દ@@ ય@@ રો@@ ગ@@ નો
કઞ્સ્કવલા	ક@@ ઞ@@ ્@@ સ્@@ ક@@ વ@@ લા
અખ્માતોવા	અ@@ ખ@@ ્@@ મા@@ તો@@ વા
કથનપદ્ધતિ	ક@@ થ@@ ન@@ પદ્@@ ધ@@ તિ
પૃથ્વીરાજ	પ@@ ૃ@@ થ@@ ્વી@@ રાજ
ગૃહમંત્રી	ગ@@ ૃ@@ હ@@ મંત્ર@@ ી
મછુન્દ્રી	મ@@ છ@@ ુ@@ ન્દ્ર@@ ી
બભ્રુવાહન	બ@@ ભ@@ ્ર@@ ુ@@ વા@@ હન
નૅપ્ચ્યુન	ન@@ ૅ@@ પ્@@ ચ@@ ્યુ@@ ન
ખ્લીહરિયત	ખ@@ ્@@ લી@@ હર@@ િય@@ ત
ઍનલિટિક્સ	ઍ@@ ન@@ લિ@@ ટિ@@ ક્સ
દૃષ્ટિકોણ	દ@@ ૃ@@ ષ્@@ ટિ@@ કોણ
પૉઝિટ્રૉન	પ@@ ૉ@@ ઝિ@@ ટ્ર@@ ૉ@@ ન
રૅમ્બ્રાં	ર@@ ૅ@@ મ્@@ બ્રા@@ ં
અસદુદ્દીન	અ@@ સ@@ દુ@@ દ્દીન
આયર્લેન્ડ	આ@@ ય@@ ર્@@ લેન્ડ
ટપકેશ્વરી	ટ@@ પ@@ કે@@ શ્વરી
નસરુદ્દીન	ન@@ સ@@ રુ@@ દ્દીન
બદરુદ્દીન	બ@@ દ@@ રુ@@ દ્દીન
અપવર્જનનો	અ@@ પ@@ વર્@@ જ@@ નનો
ઇથિયોપિયા	ઇ@@ થ@@ િયો@@ પ@@ િયા
છિન્નપત્ર	છ@@ િ@@ ન્ન@@ પ@@ ત્ર
અઠવાડિયું	અ@@ ઠ@@ વાડ@@ િય@@ ું
એટિયોલેશન	એ@@ ટ@@ િયો@@ લે@@ શન
ધૃષ્ટકેતુ	ધ@@ ૃ@@ ષ્ટ@@ કે@@ તુ
ઇલીયારાજા	ઇ@@ લ@@ ીયા@@ રાજા
ગૅંગ્સ્ટર	ગ@@ ૅ@@ ંગ્@@ સ્ટર
છિન્દવાડા	છ@@ િ@@ ન્દ@@ વાડા
ટપકાંવાળી	ટ@@ પ@@ કાં@@ વાળી
ટ્વેનસાંગ	ટ@@ ્વ@@ ે@@ ન@@ સા@@ ંગ
કપિલવસ્તુ	ક@@ પિ@@ લ@@ વ@@ સ્ત@@ ુ
અઝેરબીજાન	અ@@ ઝે@@ ર@@ બી@@ જા@@ ન
વરાહમિહિર	વ@@ રા@@ હ@@ મિ@@ હિ@@ ર
આંબલિયારા	આ@@ ંબ@@ લ@@ િય@@ ારા
બલ્લારપુર	બ@@ લ્@@ લ@@ ાર@@ પુર
ઓવરડ્રાફટ	ઓ@@ વર@@ ડ@@ ્રા@@ ફ@@ ટ
આંબલીયાસણ	આ@@ ંબ@@ લ@@ ીયા@@ સણ
એસોસિયેશન	એ@@ સો@@ સ@@ િયે@@ શન
જસમલનાથજી	જ@@ સમ@@ લ@@ નાથ@@ જી
ફર્ગ્યુસન	ફ@@ ર્@@ ગ@@ ્યુ@@ સન
વસંતપંચમી	વ@@ સં@@ ત@@ પંચ@@ મી
અલાઉદ્દીન	અ@@ લા@@ ઉ@@ દ્દીન
ઇથોપિયાનો	ઇ@@ થો@@ પ@@ િયાનો
તત્વજ્ઞાન	ત@@ ત્@@ વ@@ જ્ઞાન
મયુરવર્મા	મ@@ યુ@@ ર@@ વર્મા
મલેશિયાનો	મ@@ લે@@ શ@@ િયાનો
અષ્ટાવક્ર	અ@@ ષ્@@ ટા@@ વ@@ ક્@@ ર
કનીષ્ઠિકા	ક@@ ની@@ ષ્@@ ઠ@@ િકા
કમ્બામપતિ	ક@@ મ્@@ બા@@ મ@@ પતિ
શક્કરપારા	શ@@ ક્@@ કર@@ પ@@ ારા
અમારમકાવુ	અ@@ મા@@ રમ@@ કા@@ વ@@ ુ
એમ્બેસેડર	એ@@ મ્@@ બે@@ સે@@ ડ@@ ર
ઓન્ટોલોજિ	ઓ@@ ન્@@ ટો@@ લો@@ જ@@ િ
કફોત્પાદક	ક@@ ફો@@ ત્@@ પા@@ દ@@ ક
હકારાત્મક	હ@@ કા@@ રા@@ ત્@@ મ@@ ક
એર્નાકુલમ	એ@@ ર્@@ ના@@ કુ@@ લમ
ઓરિસ્સાના	ઓ@@ રિ@@ સ્@@ સા@@ ના
ભવાનીપટના	ભ@@ વા@@ ની@@ પટ@@ ના
મડાગાસ્કર	મ@@ ડા@@ ગા@@ સ્@@ કર
સટ્ટાખોરી	સ@@ ટ્@@ ટા@@ ખો@@ રી
સટ્ટાબાજી	સ@@ ટ્@@ ટા@@ બા@@ જી
બટેટાવડાં	બ@@ ટે@@ ટા@@ વડા@@ ં
શક્કરીયાં	શ@@ ક્@@ કર@@ ીયા@@ ં
કમ્બોડીયા	ક@@ મ્@@ બો@@ ડીયા
ચતુર્વેદી	ચ@@ તુ@@ ર્@@ વેદી
જર્મેનિયમ	જ@@ ર્@@ મે@@ નિયમ
બલ્ગેરિયા	બ@@ લ્@@ ગે@@ રિયા
બહાદુરપુર	બ@@ હા@@ દુ@@ રપુર
વસ્તીવાળા	વ@@ સ્@@ તી@@ વાળા
અલીરાજપુર	અ@@ લી@@ રાજ@@ પુર
ગારીયાધાર	ગ@@ ાર@@ ીયા@@ ધાર
ઇમેન્યુએલ	ઇ@@ મે@@ ન્યુ@@ એ@@ લ
ઉમાસ્વાતી	ઉ@@ મા@@ સ્વા@@ તી
એરિસ્ટોટલ	એ@@ રિ@@ સ્ટો@@ ટલ
યજ્ઞોપવીત	ય@@ જ્ઞ@@ ો@@ પ@@ વી@@ ત
બહારવટીયો	બ@@ હાર@@ વ@@ ટ@@ ીયો
પ્યૂએર્ટો	પ@@ ્યૂ@@ એ@@ ર્@@ ટો
નત્રલવાયુ	ન@@ ત્ર@@ લ@@ વાય@@ ુ
લક્ષદ્વીપ	લ@@ ક્ષ@@ દ@@ ્વી@@ પ
દ્વીપસમૂહ	દ@@ ્વી@@ પ@@ સમૂહ
લચ્છીવાલા	લ@@ ચ્છ@@ ી@@ વાલા
