!	_!
!!	_!!
!((	_!((
!)	_!)
!-	_!-
!mxt	_!mxt
!xt	_!xt
"નિયમોને	_"નિયમોને
રામક્રિષ્નન	_રામક્રિષ્નન
રામગઢ	_રામગઢ
રામચકલી	_રામચકલી
રામચકલી-પીળી	_રામચકલી _- _પીળી
રામચકોર	_રામચકોર
રામદેવ	_રામદેવ
રામદેવપીર	_રામદેવપીર
રામન	_રામન
રામનગર	_રામનગર
રામનગર,	_રામનગર,
રામનવમી	_રામનવમી
રામનાથ	_રામનાથ
રામનાથપુરમ	_રામનાથપુરમ
રામનારાયણ	_રામનારાયણ
રામપરા,તા.રાજકોટ	_રામપરા,તા.રાજકોટ
રામપુર	_રામપુર
રામપ્રસાદ	_રામપ્રસાદ
રામફળ	_રામફળ
રામભદ્રાચાર્ય	_રામભદ્રાચાર્ય
રામમોહનરાય	_રામમોહનરાય
રામલીલા	_રામલીલા
રામસેજ	_રામસેજ
રામસેતુ	_રામસેતુ
રામાનુજ	_રામાનુજ
રામાનુજન	_રામાનુજન
રામાનુજાચાર્ય	_રામાનુજાચાર્ય
રામાફોસા	_રામાફોસા
રામાયણ	_રામાયણ
રામાયણનાં	_રામાયણનાં
રામાસ્વામી	_રામાસ્વામી
રામેશ્વરમ	_રામેશ્વરમ
રામોલ	_રામોલ
રાય	_રાય
રાયકા	_રાયકા
રાયગંજ	_રાયગંજ
રાયગડ	_રાયગડ
રાયગડા	_રાયગડા
રાયગઢ	_રાયગઢ
રાયચૂર	_રાયચૂર
રાયડો	_રાયડો
રાયણ	_રાયણ
રાયપુર	_રાયપુર
રાયબરેલી	_રાયબરેલી
રાયસેન	_રાયસેન
રાવ	_રાવ
રાવંગલા	_રાવંગલા
રાવજી	_રાવજી
રાવણ	_રાવણ
રાવત	_રાવત
રાવલ	_રાવલ
રાવલા	_રાવલા
રાવળ	_રાવળ
રાવળીયાવદર	_રાવળીયાવદર
રાવેર	_રાવેર
રાશિ	_રાશિ
રાશી	_રાશી
રાષ્ટ્રકૂટ	_રાષ્ટ્રકૂટ
રાષ્ટ્રધ્વજ	_રાષ્ટ્રધ્વજ
રાષ્ટ્રધ્વજો	_રાષ્ટ્રધ્વજ +ો
રાષ્ટ્રધ્વજોની	_રાષ્ટ્રધ્વજોની
રાષ્ટ્રપતિ	_રાષ્ટ્રપતિ
રાષ્ટ્રપતિઓની	_રાષ્ટ્રપતિઓની
રાષ્ટ્રપતિની	_રાષ્ટ્રપતિની
રાષ્ટ્રસંઘ	_રાષ્ટ્રસંઘ
રાષ્ટ્રસંઘના	_રાષ્ટ્રસંઘ +ના
રાષ્ટ્રીય	_રાષ્ટ્રીય
રાષ્ટ્રોની	_રાષ્ટ્રોની
રાસ	_રાસ
રાસાયણિક	_રાસાયણિક
રાસ્પબેરી	_રાસ્પબેરી
રાહત	_રાહત
રાહલા	_રાહલા
રાહુલ	_રાહુલ
રિંગટોન	_રિંગટોન
રિકટર	_રિકટર
રિકન	_રિકન
રિકી	_રિકી
રિચા	_રિચા
રિઝર્વ	_રિઝર્વ
રિઝવાન	_રિઝવાન
રિટ્રીવર	_રિટ્રીવર
રિડલી	_રિડલી
રિડીમર	_રિડીમર
રિનીયમ	_રિનીયમ
રિન્પોચે	_રિન્પોચે
રિપબ્લિકન	_રિપબ્લિકન
રિયો	_રિયો
રિવરફ્રન્ટ	_રિવરફ્રન્ટ
રિવરસાઇડ	_રિવરસાઇડ
રિસર્ચ	_રિસર્ચ
રિસાયક્લિંગ	_રિસાયક્લિંગ
રિસોર્સ	_રિસોર્સ
રી	_રી
રીંગ	_રીંગ
રીંગણ	_રીંગણ
રીંછ	_રીંછ
રીગન	_રીગન
રીચર્ડ	_રીચર્ડ
રીચાર્ડ	_રીચાર્ડ
રીતે	_રીતે
રીન	_રીન
રીવર	_રીવર
રીવરફ્રન્ટ	_રીવરફ્રન્ટ
રીવા	_રીવા
રુકમણી	_રુકમણી
રુકુમ	_રુકુમ
રુક્માવતી	_રુક્માવતી
રુડયાર્ડ	_રુડયાર્ડ
રુડૉલ્ફ	_રુડૉલ્ફ
રુથ	_રુથ
રુથરફોર્ડીયમ	_રુથરફોર્ડીયમ
રુથેનિયમ	_રુથેનિયમ
રુદ્ર	_રુદ્ર
રુદ્રનાથ	_રુદ્રનાથ
રુદ્રપુર	_રુદ્રપુર
રુદ્રપ્રયાગ	_રુદ્ર _પ્રયાગ
રુદ્રમહાલય	_રુદ્રમહાલય
રુદ્રાક્ષ	_રુદ્રાક્ષ
રુધિરાભિસરણ	_રુધિરાભિસરણ
રુપનગર	_રુપનગર
રુપનડેહી	_રુપનડેહી
રુપસે	_રુપસે
રુપાલ	_રુપાલ
રુપિન	_રુપિન
રુબિડીયમ	_રુબિડીયમ
રુબે	_રુબે
રુમટેક	_રુમટેક
રુમા	_રુમા
રૂખડો	_રૂખડો
રૂઢિપ્રયોગ	_રૂઢિપ્રયોગ
રૂથ	_રૂથ
રૂપક	_રૂપક
રૂપકુંડ	_રૂપકુંડ
રૂપગઢનો	_રૂપગઢનો
રૂપરામ	_રૂપરામ
રૂપાણી	_રૂપાણી
રૂપાયતન	_રૂપાયતન
રૂપિયા	_રૂપિયા
રૂપિયો	_રૂપિયો
રૂપે	_રૂપે
રૂપેણ	_રૂપેણ
રૂપેરી	_રૂપેરી
રૂબિન	_રૂબિન
રૂમાલી	_રૂમાલી
રૂમી	_રૂમી
રૂસો	_રૂસો
રૅનબૅક્સી	_રૅનબૅક્સી
રૅમ્બ્રાં	_રૅમ્બ્રાં
રે	_રે
રેઇનર	_રેઇનર
રેકી	_રેકી
રેકોન્ગ	_રેકોન્ગ
રેકોર્ડર	_રેકોર્ડર
રેખા	_રેખા
રેજિમેન્ટ	_રેજિમેન્ટ
રેડક્લિફ	_રેડક્લિફ
રેડિયમ	_રેડિયમ
રેડિયો	_રેડિયો
રેડૉન	_રેડૉન
રેડ્ડી	_રેડ્ડી
રેણુકા	_રેણુકા
રેતી	_રેતી
રેતીયો	_રેતીયો
રેનો	_રેનો
રેન્ક	_રેન્ક
રેન્જર્સ	_રેન્જર્સ
રેન્ટજિનીયમ	_રેન્ટજિનીયમ
રેલ	_રેલ
રેલવે	_રેલવે
રેલ્વે	_રેલ્વે
રેવાડી	_રેવાડી
રેશનાલિઝમ	_રેશનાલિઝમ
રેશમ	_રેશમ
રેશમિયા	_રેશમિયા
રેસ	_રેસ
રેસલમેનિયા	_રેસલમેનિયા
રેહા	_રેહા
રૉર્શોક	_રૉર્શોક
રૉવન	_રૉવન
રોંગ	_રોંગ
રોઇન્ગ	_રોઇન્ગ
રોક	_રોક
રોકડીયો	_રોકડીયો
રોગ	_રોગ
રોજગાર	_રોજગાર
રોજડી	_રોજડી
રોજર	_રોજર
રોજા	_રોજા
રોજીદ	_રોજીદ
રોઝા	_રોઝા
રોઝો	_રોઝો
રોટલી	_રોટલી
રોટી	_રોટી
રોડ	_રોડ
રોડ,	_રોડ,
રોડા	_રોડા
રોડિયમ	_રોડિયમ
રોનાલ્ડ	_રોનાલ્ડ
રોનાલ્ડો	_રોનાલ્ડ +ો
રોબર્ટ	_રોબર્ટ
રોબર્ટસગંજ	_રોબર્ટસગંજ
રોબિનસિંઘ	_રોબિનસિંઘ
રોબોકોન	_રોબોકોન
રોમાનિયા	_રોમાનિયા
રોય	_રોય
રોલ્પા	_રોલ્પા
રોવર	_રોવર
રોવર્સ	_રોવર્સ
રોશન	_રોશન
રોહતક	_રોહતક
રોહતાસ	_રોહતાસ
રોહર	_રોહર
રોહાનો	_રોહાનો
રોહિણી	_રોહિણી
રોહુ	_રોહુ
લંડન	_લંડન
લઈશરામ	_લઈશરામ
લકુલીશ	_લકુલીશ
લક્કડખોદ	_લક્કડખોદ
લક્કુંડી	_લક્કુંડી
લક્ઝેમ્બર્ગ	_લક્ઝેમ્બર્ગ
લક્ઝેમ્બર્ગનો	_લક્ઝેમ્બર્ગનો
લક્ષદ્વીપ	_લક્ષદ્વીપ
લક્ષ્મણ	_લક્ષ્મણ
લક્ષ્મી	_લક્ષ્મી
લક્ષ્મીચંદ	_લક્ષ્મીચંદ
લક્ષ્મીબાઈ	_લક્ષ્મીબાઈ
લક્ષ્મેશ્વર	_લક્ષ્મેશ્વર
લક્સ	_લક્સ
લખતર	_લખતર
લખનદેઈ	_લખનદેઈ
લખનૌ	_લખનૌ
લખપત	_લખપત
લખાતી	_લખાતી
લખિમપુર	_લખિમપુર
લખીસરાય	_લખીસરાય
લખેલી	_લખેલી
લગ	_લગ
લગતી	_લગતી
લગ્ન	_લગ્ન
લઘુ	_લઘુ
લચિત	_લચિત
લચ્છીવાલા	_લચ્છીવાલા
લજામણી	_લજામણી
લટોરો	_લટોરો
લડાઈ	_લડાઈ
લડાખ	_લડાખ
લડાખી	_લડાખ +ી
લડી	_લડી
લતા	_લતા
લતીફ	_લતીફ
લદ્દાખ	_લદ્દાખ
લમ્ફેલ્પેટ	_લમ્ફેલ્પેટ
લય	_લય
લલિતપુર	_લલિતપુર
લલેડુ	_લલેડુ
લવ	_લવ
લવકુમાર	_લવકુમાર
લવજી	_લવજી
લવિંગ	_લવિંગ
લસણ	_લસણ
લસણની	_લસણની
લસિકા	_લસિકા
લા	_લા
લાંધણજ	_લાંધણજ
લાંભા	_લાંભા
લાઇટ્	_લાઇટ્
લાઇફ	_લાઇફ
લાઇબેરીયાનો	_લાઇબેરીયાનો
લાઇસન્સ	_લાઇસન્સ
લાઈટ	_લાઈટ
લાઈન	_લાઈન
લાઓત્સે	_લાઓત્સે
લાઓસ	_લાઓસ
લાઓસનો	_લાઓસનો
લાકડીયા	_લાકડીયા
લાક્ષાગૃહ	_લાક્ષાગૃહ
લાખ	_લાખ
લાખથી	_લાખથી
લાખાપાદર	_લાખાપાદર
લાખામંડલ	_લાખામંડલ
લાગોસ	_લાગોસ
લાગ્યો	_લાગ્યો
લાજપતરાય	_લાજપતરાય
લાટવિયા	_લાટવિયા
લાટવિયાનો	_લાટવિયાનો
લાઠી	_લાઠી
લાડુ	_લાડુ
લાડોલ	_લાડોલ
લાતૂર	_લાતૂર
લાતેહાર	_લાતેહાર
લાથ	_લાથ
લાપસી	_લાપસી
લાપાસરી	_લાપાસરી
લાભશંકર	_લાભશંકર
લામજુંગ	_લામજુંગ
લામ્બોરગીની	_લામ્બોરગીની
લાયબલ	_લાયબલ
લાયબ્રેરી	_લાયબ્રેરી
લાયબ્રેરી,	_લાયબ્રેરી,
લાયલ	_લાયલ
લારા	_લારા
લાલ	_લાલ
લાલકૃષ્ણ	_લાલકૃષ્ણ
લાલગઢ	_લાલગઢ
લાલજી	_લાલજી
લાલભાઇ	_લાલભાઇ
લાલભાઈ	_લાલભાઈ
લાલા	_લાલા
લાલી	_લાલ +ી
લાવણી	_લાવણી
લાસ	_લાસ
લાહોર	_લાહોર
લાહૌલ	_લાહૌલ
લિંગ	_લિંગ
લિંગરાજ	_લિંગરાજ
લિઓન	_લિઓન
લિઓનાર્ડો	_લિઓનાર્ડો
લિક્વિડ	_લિક્વિડ
લિગ્નાઇટ	_લિગ્નાઇટ
લિટન	_લિટન
લિટમસ	_લિટમસ
લિથિયમ	_લિથિયમ
લિથુઆનિયા	_લિથુઆનિયા
લિથુઆનિયાનો	_લિથુઆનિયાનો
લિનક્સ	_લિનક્સ
લિનસ	_લિનસ
લિપ	_લિપ
લિપિ	_લિપિ
લિપિમાં	_લિપિમાં
લિપીડ	_લિપીડ
લિપુલેખ	_લિપુલેખ
લિબર્ટી	_લિબર્ટી
લિબિયા	_લિબિયા
લિબિયાનો	_લિબિયાનો
લિમિટેડ	_લિમિટેડ
લિમ્બો	_લિમ્બો
લિવરપૂલ	_લિવરપૂલ
લી	_લી
લીંબડી	_લીંબડી
લીંબુ	_લીંબુ
લીંબુડા	_લીંબુડા
લીંબુનું	_લીંબુનું
લીંભોઈ	_લીંભોઈ
લીગ	_લીગ
લીચી	_લીચી
લીચેસ્ટેઈન	_લીચેસ્ટેઈન
લીચેસ્ટેઈનનો	_લીચેસ્ટેઈનન +ો
લીડ્ઝ	_લીડ્ઝ
લીના	_લીના
લીમખેડા	_લીમખેડા
લીમડો	_લીમડો
લીલ	_લીલ
લીલા	_લીલા
લીલાપુર	_લીલાપુર
લીલી	_લીલ +ી
લીલો	_લીલ +ો
લુણાવાડા	_લુણાવાડા
લુણી	_લુણી
લુણેજ	_લુણેજ
લુધિયાણા	_લુધિયાણા
લુન્ગલેઇ	_લુન્ગલેઇ
લુમ્બિની	_લુમ્બિની
લુસિઅન	_લુસિઅન
લૂઇસ	_લૂઇસ
લૂઈ	_લૂઈ
લૂઈસ	_લૂઈસ
લૅરી	_લૅરી
લેંગકાવી	_લેંગકાવી
લેંગપુઈ	_લેંગપુઈ
લેઉવા	_લેઉવા
લેક	_લેક
લેખ	_લેખ
લેખક	_લેખક
લેખન	_લેખન
લેખો	_લેખ +ો
લેખોની	_લેખોની
લેગો	_લેગો
લેજર	_લેજર
લેડી	_લેડ +ી
લેડો	_લેડ +ો
લેધરબેક	_લેધરબેક
લેન	_લેન
લેનિન	_લેનિન
લેન્ડ	_લેન્ડ
લેન્ડસ્ટેઇનર	_લેન્ડસ્ટેઇનર
લેન્થેનમ	_લેન્થેનમ
લેન્સડાઉન	_લેન્સડાઉન
લેપ્ટોસ્પાઇરોસિસ	_લેપ્ટોસ્પાઇરોસિસ
લેબેનાન	_લેબેનાન
લેબેનાનનો	_લેબેનાનન +ો
લેબોરેટરીઝ	_લેબોરેટરીઝ
લેબ્રાડોર	_લેબ્રાડોર
લેમ્પાર્ડ	_લેમ્પાર્ડ
લેરી	_લેરી
લેલેટી	_લેલેટી
લેસર	_લેસર
લેસોથોનો	_લેસોથોનો
લેસ્ટર	_લેસ્ટર
લેહ	_લેહ
લૈશમેનિયાસિસ	_લૈશમેનિયાસિસ
લૉ	_લૉ
લોંકડી	_લોંકડી
લોંગ	_લોંગ
લોંગેવાલાની	_લોંગેવાલાની
લોક	_લોક
લોકગીત	_લોકગીત
લોકતંત્રીય	_લોકતંત્રીય
લોકનાથ	_લોકનાથ
લોકનૃત્ય	_લોકનૃત્ય
લોકનૃત્યો	_લોકનૃત્ય +ો
લોકમાન્ય	_લોકમાન્ય
લોકલ	_લોકલ
લોકશાહી	_લોકશાહી
લોકસભા	_લોકસભા
લોકસભાના	_લોકસભા +ના
લોકેટર	_લોકેટર
લોકો	_લોક +ો
લોકોની	_લોકોની
લોખંડ	_લોખંડ
લોખંડે	_લોખંડે
લોચો	_લોચો
લોજ	_લોજ
લોટસ	_લોટસ
લોટેશ્વર	_લોટેશ્વર
લોટો	_લોટો
લોથલ	_લોથલ
લોદી	_લોદી
લોનાર	_લોનાર
લોનાવાલા	_લોનાવાલા
લોન્ગતલાઇ	_લોન્ગતલાઇ
લોન્ગલેન્ગ	_લોન્ગલેન્ગ
લોપકચિહ્ન	_લોપકચિહ્ન
લોફ્ટસ	_લોફ્ટસ
લોબાન	_લોબાન
લોરેન્સીયમ	_લોરેન્સીયમ
લોસ	_લોસ
લોહ	_લોહ
લોહરદગ્ગા	_લોહરદગ્ગા
લોહાણા	_લોહાણા
લોહિત	_લોહિત
લોહિયા	_લોહિયા
લોહી	_લોહ +ી
લૌહ	_લૌહ
લ્યુઇસિયાના	_લ્યુઇસિયાના
લ્યુટેશિયમ	_લ્યુટેશિયમ
લ્યૂથર	_લ્યૂથર
વંડા	_વંડા
વંથલી	_વંથલી
વંદે	_વંદે
વંદો	_વંદો
વંશ	_વંશ
વંશીય	_વંશીય
વંશો	_વંશ +ો
વકતાપુરા	_વકતાપુરા
વઘઇ	_વઘઇ
વચનામૃત	_વચનામૃત
વજન	_વજન
વજીહુદ્દીન	_વજીહુદ્દીન
વજ્જિકા	_વજ્જિકા
વઝીર	_વઝીર
વટાણા	_વટાણા
વટામણ	_વટામણ
વડ	_વડ
વડગામ	_વડગામ
વડતાલ	_વડતાલ
વડનગર	_વડનગર
વડલી	_વડલી
વડવિયાળા	_વડવિયાળા
વડસર	_વડસર
વડા	_વડા
વડાપાવ	_વડાપાવ
વડાપ્રધાન	_વડાપ્રધાન
વડાલા	_વડાલા
વડાલી	_વડાલી
વડી	_વડી
વડીયા	_વડીયા
વડે	_વડે
વડેલી	_વડેલી
વડોદરા	_વડોદરા
વડોદરિયા	_વડોદરિયા
વઢવાણ	_વઢવાણ
વઢિયાર	_વઢિયાર
વણાકબોરી	_વણાકબોરી
વધારો	_વધારો
વધુ	_વધુ
વન	_વન
વનનાબૂદી	_વનનાબૂદી
વનમાળીદાસ	_વનમાળીદાસ
વનરાજ	_વનરાજ
વનસ્પતિ	_વનસ્પતિ
વનસ્પતિશાસ્ત્ર	_વનસ્પતિ _શાસ્ત્ર
વન્ડરલા	_વન્ડરલા
વન્ડરલેન્ડ	_વન્ડરલેન્ડ
વન્ય	_વન્ય
વન્યજગતમાં	_વન્યજગતમાં
વન્યજીવ	_વન્યજીવ
વન્યજીવન	_વન્યજીવન
વન્યજીવો	_વન્યજીવ +ો
વપરાશ	_વપરાશ
વપરાશકર્તા	_વપરાશકર્તા
વમાજ	_વમાજ
વયંસેવ	_વયંસેવ
વયનાડ	_વયનાડ
વરંધા	_વરંધા
વરણું	_વરણું
વરતેજ	_વરતેજ
વરદરાજન	_વરદરાજન
વરદાન	_વરદાન
વરલી	_વરલી
વરસાદ	_વરસાદ
વરસોડા	_વરસોડા
વરાઇ	_વરાઇ
વરાછા	_વરાછા
વરાહમિહિર	_વરાહમિહિર
વરિયાળી	_વરિયાળી
વરુણ	_વરુણ
વરુણા	_વરુણા
વરૂ	_વરૂ
વરૂણ	_વરૂણ
વરોરા	_વરોરા
વર્ગ	_વર્ગ
વર્ગમૂળ	_વર્ગમૂળ
વર્ગીકૃતનામકરણ	_વર્ગીકૃતનામકરણ
વર્ગીસ	_વર્ગીસ
વર્ચ્યુઅલાઈઝેશન	_વર્ચ્યુઅલાઈઝેશન
વર્જિન	_વર્જિન
વર્ડપ્રેસ	_વર્ડપ્રેસ
વર્ણકોષાશય	_વર્ણકોષાશય
વર્ણવ્યવસ્થા	_વર્ણવ્યવસ્થા
વર્ણાતુ	_વર્ણાતુ
વર્તન	_વર્તન
વર્તમાન	_વર્તમાન
વર્તમાનપત્ર	_વર્તમાનપત્ર
વર્તુળ	_વર્તુળ
વર્તુળની	_વર્તુળન +ી
વર્તુળનો	_વર્તુળન +ો
વર્દુનો	_વર્દુનો
વર્ધમાન	_વર્ધમાન
વર્ધા	_વર્ધા
વર્મા	_વર્મા
વર્મોન્ટ	_વર્મોન્ટ
વર્લ્ડ	_વર્લ્ડ
વર્ષ	_વર્ષ
વર્ષના	_વર્ષ +ના
વર્ષા	_વર્ષા
વલસાડ	_વલસાડ
વલ્લભ	_વલ્લભ
વલ્લભભાઈ	_વલ્લભભાઈ
વલ્લભસૂરી	_વલ્લભસૂરી
વલ્લભાચાર્ય	_વલ્લભાચાર્ય
વલ્લભીપુર	_વલ્લભીપુર
વળગાડ	_વળગાડ
વળા	_વળા
વશિષ્ટી	_વશિષ્ટી
વશી	_વશી
વસંત	_વસંત
વસંતપંચમી	_વસંતપંચમી
વસઈનો	_વસઈનો
વસતી	_વસતી
વસાવડા	_વસાવડા
વસાવા	_વસાવા
વસિષ્ઠ	_વસિષ્ઠ
વસુદેવ	_વસુદેવ
વસુબેન	_વસુબેન
વસો	_વસો
વસ્તી-વિષયક	_વસ્તી _- _વિષયક
વસ્તીવાળા	_વસ્તી _વાળા
વસ્તુ	_વસ્તુ
વસ્તુઓ	_વસ્તુઓ
વસ્તુગત	_વસ્તુગત
વસ્તુપાળ	_વસ્તુપાળ
વસ્ત્રાપુર	_વસ્ત્રાપુર
વહીવટીતંત્ર	_વહીવટીતંત્ર
વા	_વા
વાંકાનેર	_વાંકાનેર
વાંગચુક	_વાંગચુક
વાંઢાય	_વાંઢાય
વાંદરું	_વાંદરું
વાંદરો	_વાંદરો
વાંસ	_વાંસ
વાંસદા	_વાંસદા
વાંસળી	_વાંસળી
વાંસવાડા	_વાંસવાડા
વાઇ	_વાઇ
વાઇકિંગ	_વાઇકિંગ
વાઇમકારીરી	_વાઇમકારીરી
વાઇમેક્સ	_વાઇમેક્સ
વાઇસ	_વાઇસ
વાઈ	_વાઈ
વાઈડ	_વાઈડ
વાકછટા	_વાકછટા
વાકાટક	_વાકાટક
વાકાણી	_વાકાણી
વાઘ	_વાઘ
વાઘુરા	_વાઘુરા
વાઘેર	_વાઘેર
વાઘેલ	_વાઘેલ
વાઘેલા	_વાઘેલા
વાઘોડિયા	_વાઘોડિયા
વાઘોમડા	_વાઘોમડા
વાછરાદાદા	_વાછરાદાદા
વાછાવડ	_વાછાવડ
વાજપેયી	_વાજપેયી
વાજું	_વાજું
વાટ	_વાટ
વાટવ	_વાટવ
વાટાઘાટ	_વાટાઘાટ
વાડકર	_વાડકર
વાડિયા	_વાડિયા
વાડી	_વાડી
વાડીલાલ	_વાડીલાલ
વાતાવરણ	_વાતાવરણ
વાત્સ્યાયન	_વાત્સ્યાયન
વાદળ	_વાદળ
વાદ્ય	_વાદ્ય
વાન	_વાન
વાનગીઓ	_વાનગીઓ
વાન્તાવંગ	_વાન્તાવંગ
વાપી	_વાપી
વામકુક્ષિ	_વામકુક્ષિ
વામન	_વામન
વાયડા	_વાયડા
વાયરલેસ	_વાયરલેસ
વાયરસ	_વાયરસ
વાયરિયર	_વાયરિયર
વાયુ	_વાયુ
વાયુનું	_વાયુનું
વાયુસેના	_વાયુ _સેના
વારંગલ	_વારંગલ
વારનાં	_વારનાં
વારલી	_વારલી
વારાણસી	_વારાણસી
વારાહી	_વારાહી
વાર્ટા	_વાર્ટા
વાલ	_વાલ
વાલકેશ્વર	_વાલકેશ્વર
વાલી	_વાલ +ી
વાલેસ	_વાલેસ
વાલોડ	_વાલોડ
વાલ્પારાઇસો	_વાલ્પારાઇસો
વાલ્મીકિ	_વાલ્મીકિ
વાલ્સન	_વાલ્સન
વાળ	_વાળ
વાળા	_વાળા
વાળાં	_વાળાં
વાવ	_વાવ
વાવ,	_વાવ,
વાવડી	_વાવડી
વાશીમ	_વાશીમ
વાસન	_વાસન
વાસાવડ	_વાસાવડ
વાસુદેવ	_વાસુદેવ
વાસ્કો	_વાસ્કો
વાહનવ્યવહાર	_વાહનવ્યવહાર
વિંછી	_વિંછી
વિંઝાણ	_વિંઝાણ
વિંધ્યાચલ	_વિંધ્યાચલ
વિકલાંગ	_વિકલાંગ
વિકાસ	_વિકાસ
વિકિટ્રાવેલ	_વિકિટ્રાવેલ
વિકિડેટા	_વિકિડેટા
વિકિપરિયોજના	_વિકિપરિયોજના
વિકિપરીયોજના	_વિકિપરીયોજના
વિકિપીડિયનો	_વિકિપીડિયનો
વિકિપીડિયા	_વિકિપીડિયા
વિકિપીડિયાની	_વિકિપીડિયાની
વિકિપીડિયામાં	_વિકિપીડિયામાં
વિકિમીડિયા	_વિકિમીડિયા
વિકિસ્રોત	_વિકિસ્રોત
વિકી	_વિકી
વિકીમેપિયા	_વિકીમેપિયા
વિકીરણ	_વિકીરણ
વિકેટ	_વિકેટ
વિક્ટર	_વિક્ટર
વિક્રમ	_વિક્રમ
વિક્રમાદિત્ય	_વિક્રમાદિત્ય
વિક્રમોર્વશીયમ્	_વિક્રમોર્વશીયમ્
વિક્શનરી	_વિક્શનરી
વિખ્યાત	_વિખ્યાત
વિગતવાર	_વિગતવાર
વિગાન	_વિગાન
વિગ્રહરેખા	_વિગ્રહરેખા
વિઘા	_વિઘા
વિઘ્યુતચુંબકિય	_વિઘ્યુતચુંબકિય
વિચરણ	_વિચરણ
વિચારધારા	_વિચારધારા
વિચિત્રવિર્ય	_વિચિત્રવિર્ય
વિચ્છેદન	_વિચ્છેદન
વિચ્છેદન-વિશ્લેષણ	_વિચ્છેદન _- _વિશ્લેષણ
વિજય	_વિજય
વિજયગુપ્ત	_વિજય _ગુપ્ત
વિજયનગર	_વિજયનગર
વિજયરાય	_વિજયરાય
વિજયવાડા	_વિજયવાડા
વિજયસ્તંભ,	_વિજય _સ્તંભ,
વિજયાલય	_વિજયાલય
વિજયી	_વિજય +ી
વિજાપુર	_વિજાપુર
વિજેતા	_વિજેતા
વિજેતાઓ	_વિજેતાઓ
વિજેન્દર	_વિજેન્દર
વિજ્ઞાન	_વિજ્ઞાન
વિજ્ઞાપન	_વિજ્ઞાપન
વિઝા	_વિઝા
વિઝ્કાયા	_વિઝ્કાયા
વિઝ્યુઅલ	_વિઝ્યુઅલ
વિટવાટર્સરાંડ	_વિટવાટર્સરાંડ
વિટામિન	_વિટામિન
વિઠ્ઠલભાઈ	_વિઠ્ઠલભાઈ
વિડિયો	_વિડિયો
વિદર્ભ	_વિદર્ભ
વિદિશા	_વિદિશા
વિદુર	_વિદુર
વિદેશ	_વિદેશ
વિદ્યા	_વિદ્યા
વિદ્યાગૌરી	_વિદ્યાગૌરી
વિદ્યાનગર	_વિદ્યાનગર
વિદ્યાપીઠ	_વિદ્યાપીઠ
વિદ્યાપીઠ,	_વિદ્યાપીઠ,
વિદ્યામંદિર,	_વિદ્યા _મંદિર,
વિદ્યાલય	_વિદ્યાલય
વિદ્યાલયી	_વિદ્યાલય +ી
વિદ્યુત	_વિદ્યુત
વિદ્યુત-ચુંબકીય	_વિદ્યુત _- _ચુંબકીય
વિદ્યુતભાર	_વિદ્યુતભાર
વિધાન	_વિધાન
વિધાનસભા	_વિધાનસભા
વિનય	_વિનય
વિનાયક	_વિનાયક
વિનિમય	_વિનિમય
વિનિયોગ	_વિનિયોગ
વિનુ	_વિનુ
વિનોદ	_વિનોદ
વિનોદિની	_વિનોદિની
વિનોદી	_વિનોદ +ી
વિનોબા	_વિનોબા
વિન્ચી	_વિન્ચી
વિન્ડોઝ	_વિન્ડોઝ
વિન્સેન્ટ	_વિન્સેન્ટ
વિપશ્યના	_વિપશ્યના
વિભા	_વિભા
વિભાગ	_વિભાગ
વિમળા	_વિમળા
વિમાન	_વિમાન
વિમાનમથક	_વિમાનમથક
વિમાનવાહક	_વિમાનવાહક
વિયેતનામ	_વિયેતનામ
વિયેતનામમાં	_વિયેતનામમાં
વિરપુર	_વિરપુર
વિરમગામ	_વિરમગામ
વિરાટ	_વિરાટ
વિરાણી	_વિરાણી
વિરાધ	_વિરાધ
વિરામ	_વિરામ
વિરામચિહ્નો	_વિરામચિહ્નો
વિરાવળ	_વિરાવળ
વિરુધુનગર	_વિરુધુનગર
વિરેન્દ્ર	_વિરેન્દ્ર
વિરોધ	_વિરોધ
વિરોધી	_વિરોધ +ી
વિલવણીકરણ	_વિલવણીકરણ
વિલા	_વિલા
વિલાયતખાં	_વિલાયતખાં
વિલાયતી	_વિલાયતી
વિલાસ	_વિલાસ
વિલિયમ	_વિલિયમ
વિલિયમ્સ	_વિલિયમ્સ
વિલિસ	_વિલિસ
વિલુપ્ત	_વિલુપ્ત
વિલુપ્પુરમ	_વિલુપ્પુરમ
વિલે	_વિલે
વિલ્સન	_વિલ્સન
વિલ્હેલ્મ	_વિલ્હેલ્મ
વિવર	_વિવર
વિવાદ	_વિવાદ
વિવાદો	_વિવાદ +ો
વિવિધ	_વિવિધ
વિવેક	_વિવેક
વિવેકાનંદ	_વિવેકાનંદ
વિવેચક	_વિવેચક
વિશનસર	_વિશનસર
વિશાખાપટનમ	_વિશાખાપટનમ
વિશાલ-શેખર	_વિશાલ _- _શેખર
વિશિષ્ટ	_વિશિષ્ટ
વિશેષ	_વિશેષ
વિશ્લેષણ	_વિશ્લેષણ
વિશ્વ	_વિશ્વ
વિશ્વકપ	_વિશ્વકપ
વિશ્વકર્મા	_વિશ્વકર્મા
વિશ્વકોશ	_વિશ્વકોશ
વિશ્વધરોહર	_વિશ્વ _ધરોહર
