!	!	_!
!!	!!	_!!
!((	!((	_!((
!)	!)	_!)
!-	!-	_!-
!mxt	!MXT	_!mxt
!xt	!XT	_!xt
મૌર્ય	મૌર્ય	_મૌર્ય
મૌસમી	મૌસમી	_મૌસમી
મ્યુચ્યુઅલ	મ્યુચ્યુઅલ	_મ્યુચ્યુઅલ
મ્યુજીયમ	મ્યુજીયમ	_મ્યુજીયમ
મ્યુઝિયમ	મ્યુઝિયમ	_મ્યુઝિયમ
મ્યુનિસિપલ	મ્યુનિસિપલ	_મ્યુનિસિપલ
મ‌ઉ	મ‌ઉ	_મ‌ઉ
યંગ	યંગ	_યંગ
યંત્ર	યંત્ર	_યંત્ર
યજુર્વેદ	યજુર્વેદ	_યજુર્વેદ
યજ્ઞ	યજ્ઞ	_યજ્ઞ
યજ્ઞોપવીત	યજ્ઞોપવીત	_યજ્ઞોપવીત
યતી	યતી	_યતી
યદુવંશ	યદુવંશ	_યદુવંશ
યમનોત્રી	યમનોત્રી	_યમનોત્રી
યમુના	યમુના	_યમુના
યમુનાનગર	યમુનાનગર	_યમુનાનગર
યયાતિ	યયાતિ	_યયાતિ
યવતમાળ	યવતમાળ	_યવતમાળ
યશપાલ	યશપાલ	_યશપાલ
યશવંત	યશવંત	_યશવંત
યશશ્ચન્દ્ર	યશશ્ચન્દ્ર	_યશશ્ચન્દ્ર
યશોદા	યશોદા	_યશોદા
યહૂદી	યહૂદી	_યહૂદી
યાંત્રિક	યાંત્રિક	_યાંત્રિક
યાક	યાક	_યાક
યાજ્ઞવલ્કય	યાજ્ઞવલ્કય	_યાજ્ઞવલ્કય
યાજ્ઞિક	યાજ્ઞિક	_યાજ્ઞિક
યાટ	યાટ	_યાટ
યાત્રા	યાત્રા	_યાત્રા
યાત્રાધામ	યાત્રાધામ	_યાત્રાધામ
યાદગીરીનો	યાદગીરીનો	_યાદગીરીનો
યાદવ	યાદવ	_યાદવ
યાદી	યાદી	_યાદી
યાન	યાન	_યાન
યાયાવર	યાયાવર	_યાયાવર
યાર	યાર	_યાર
યાવલ	યાવલ	_યાવલ
યાહૂ!	યાહૂ!	_યાહૂ!
યિંગકીયોંગ	યિંગકીયોંગ	_યિંગકીયોંગ
યુ...	યુ...	_યુ...
યુ.કે.	યુ.કે.	_યુ.કે.
યુ.જી.કૃષ્ણમુર્તિ	યુ.જી.કૃષ્ણમુર્તિ	_યુ.જી.કૃષ્ણમુર્તિ
યુઇએફએ	યુઇએફએ	_યુઇએફએ
યુક્ત	યુક્ત	_યુક્ત
યુક્રેન	યુક્રેન	_યુક્રેન
યુક્લિડ	યુક્લિડ	_યુક્લિડ
યુગ	યુગ	_યુગ
યુગાન્ડા	યુગાન્ડા	_યુગાન્ડા
યુટ્યુબ	યુટ્યુબ	_યુટ્યુબ
યુદ્ધ	યુદ્ધ	_યુદ્ધ
યુધિષ્ઠિર	યુધિષ્ઠિર	_યુધિષ્ઠિર
યુધ્ધ	યુધ્ધ	_યુધ્ધ
યુનાઇટેડ	યુનાઇટેડ	_યુનાઇટેડ
યુનાઈટેડ	યુનાઈટેડ	_યુનાઈટેડ
યુનિકોડ	યુનિકોડ	_યુનિકોડ
યુનિટ	યુનિટ	_યુનિટ
યુનિટી	યુનિટ +(ી)	_યુનિટ +ી
યુનિફોર્મ	યુનિફોર્મ	_યુનિફોર્મ
યુનિયન	યુનિયન	_યુનિયન
યુનિલિવર	યુનિલિવર	_યુનિલિવર
યુનિવર્સલ	યુનિવર્સલ	_યુનિવર્સલ
યુનિવર્સિટી	યુનિવર્સિટી	_યુનિવર્સિટી
યુનિવર્સિટી,	યુનિવર્સિટી,	_યુનિવર્સિટી,
યુનિવર્સિટીઓ	યુનિવર્સિટીઓ	_યુનિવર્સિટીઓ
યુપીયા	યુપીયા	_યુપીયા
યુયુત્સુ	યુયુત્સુ	_યુયુત્સુ
યુરિયા	યુરિયા	_યુરિયા
યુરેનસ	યુરેનસ	_યુરેનસ
યુરેનિયમ	યુરેનિયમ	_યુરેનિયમ
યુરેશીયા	યુરેશીયા	_યુરેશીયા
યુરોપ	યુરોપ	_યુરોપ
યુરોપના	યુરોપ +(ના)	_યુરોપ +ના
યુરોપનાં	યુરોપનાં	_યુરોપનાં
યુરોપિયમ	યુરોપિયમ	_યુરોપિયમ
યુવરાજસિંઘ	યુવરાજસિંઘ	_યુવરાજસિંઘ
યુવા	યુવા	_યુવા
યુવાદિન	યુવાદિન	_યુવાદિન
યુવાભારતી	યુવા ભારત +(ી)	_યુવા || _ભારત +ી
યુસુફ	યુસુફ	_યુસુફ
યુસુફઝઈ	યુસુફઝઈ	_યુસુફઝઈ
યુસૈન	યુસૈન	_યુસૈન
યૂ	યૂ	_યૂ
યૂરો	યૂરો	_યૂરો
યેઘીશે	યેઘીશે	_યેઘીશે
યેમેન	યેમેન	_યેમેન
યેરકાડ	યેરકાડ	_યેરકાડ
યેવલા	યેવલા	_યેવલા
યૉર્ક	યૉર્ક	_યૉર્ક
યો	યો	_યો
યોકોવિચ	યોકોવિચ	_યોકોવિચ
યોગ	યોગ	_યોગ
યોગરાજસિંઘ	યોગરાજસિંઘ	_યોગરાજસિંઘ
યોગસૂત્ર	યોગસૂત્ર	_યોગસૂત્ર
યોગિની	યોગિની	_યોગિની
યોગેન્દ્ર	યોગેન્દ્ર	_યોગેન્દ્ર
યોગેશ	યોગેશ	_યોગેશ
યોગ​વાસિષ્ઠ	યોગ​વાસિષ્ઠ	_યોગ​વાસિષ્ઠ
યોજના	યોજના	_યોજના
યોર	યોર	_યોર
યોર્ક	યોર્ક	_યોર્ક
યોસેમિટી	યોસેમિટી	_યોસેમિટી
યોહાન	યોહાન	_યોહાન
રંગ	રંગ	_રંગ
રંગપંચમી	રંગપંચમી	_રંગપંચમી
રંગપુર	રંગપુર	_રંગપુર
રંગભૂમિ	રંગભૂમિ	_રંગભૂમિ
રંગભેદ	રંગભેદ	_રંગભેદ
રંગમંચ	રંગમંચ	_રંગમંચ
રંગમતી	રંગમતી	_રંગમતી
રંગારેડ્ડી	રંગારેડ્ડી	_રંગારેડ્ડી
રંગાવલી	રંગાવલી	_રંગાવલી
રંગીત	રંગીત	_રંગીત
રંજન	રંજન	_રંજન
રંજના	રંજન +(ના)	_રંજન $-ન +ના
રંદો	રંદો	_રંદો
રઈશ	રઈશ	_રઈશ
રક્ત	રક્ત	_રક્ત
રક્તચંદન	રક્તચંદન	_રક્તચંદન
રક્તદાન	રક્તદાન	_રક્તદાન
રક્તના	રક્ત +(ના)	_રક્ત +ના
રક્તપિત	રક્તપિત	_રક્તપિત
રક્તસમુહ	રક્ત સમુહ	_રક્ત || _સમુહ
રક્તસ્રાવિતા	રક્તસ્રાવિતા	_રક્તસ્રાવિતા
રક્ષા	રક્ષા	_રક્ષા
રખાલ	રખાલ	_રખાલ
રગડા	રગડા	_રગડા
રઘુનાથ	રઘુનાથ	_રઘુનાથ
રઘુવીર	રઘુવીર	_રઘુવીર
રચના	રચના	_રચના
રચિત	રચિત	_રચિત
રચેલ	રચેલ	_રચેલ
રજકો	રજકો	_રજકો
રજત	રજત	_રજત
રજનીકાંત	રજનીકાંત	_રજનીકાંત
રજનીશ	રજનીશ	_રજનીશ
રજવાડાઓની	રજવાડાઓની	_રજવાડાઓની
રજવાડું	રજવાડું	_રજવાડું
રજિત	રજિત	_રજિત
રઝા	રઝા	_રઝા
રઝિયા	રઝિયા	_રઝિયા
રણ	રણ	_રણ
રણછોડજી	રણછોડજી	_રણછોડજી
રણછોડદાસ	રણછોડદાસ	_રણછોડદાસ
રણછોડભાઈ	રણછોડભાઈ	_રણછોડભાઈ
રણછોડલાલ	રણછોડલાલ	_રણછોડલાલ
રણજિતરામ	રણજિતરામ	_રણજિતરામ
રણજી	રણજી	_રણજી
રણજીત	રણજીત	_રણજીત
રણજીતસિંહ	રણજીત સિંહ	_રણજીત || _સિંહ
રણથંભોર	રણથંભોર	_રણથંભોર
રણથંભોરનો	રણથંભોરનો	_રણથંભોરનો
રણાસણ	રણાસણ	_રણાસણ
રણોલી	રણોલી	_રણોલી
રતન	રતન	_રતન
રતનાલ	રતનાલ	_રતનાલ
રતલામ	રતલામ	_રતલામ
રતાળુ	રતાળુ	_રતાળુ
રતિલાલ	રતિલાલ	_રતિલાલ
રત્ન	રત્ન	_રત્ન
રત્નજી	રત્નજી	_રત્નજી
રત્નમણિરાવ	રત્નમણિરાવ	_રત્નમણિરાવ
રત્નસુંદરસૂરિ	રત્નસુંદરસૂરિ	_રત્નસુંદરસૂરિ
રત્ના	રત્ન +(ના)	_રત્ન $-ન +ના
રત્નાગિરી	રત્નાગિરી	_રત્નાગિરી
રથ	રથ	_રથ
રથયાત્રા	રથયાત્રા	_રથયાત્રા
રદ	રદ	_રદ
રફાયેલ	રફાયેલ	_રફાયેલ
રફી	રફી	_રફી
રફેલ	રફેલ	_રફેલ
રબર	રબર	_રબર
રબારી	રબારી	_રબારી
રમકડું	રમકડું	_રમકડું
રમઝાન	રમઝાન	_રમઝાન
રમણ	રમણ	_રમણ
રમણભાઈ	રમણભાઈ	_રમણભાઈ
રમણલાલ	રમણલાલ	_રમણલાલ
રમત	રમત	_રમત
રમત-ગમત	રમત ગમત	_રમત || _ગમત
રમતોત્સવ	રમતોત્સવ	_રમતોત્સવ
રમા	રમા	_રમા
રમાકાંત	રમાકાંત	_રમાકાંત
રમાકાન્ત	રમાકાન્ત	_રમાકાન્ત
રમાસ	રમાસ	_રમાસ
રમેશ	રમેશ	_રમેશ
રમેશભાઈ	રમેશભાઈ	_રમેશભાઈ
રવ	રવ	_રવ
રવાંડા	રવાંડા	_રવાંડા
રવિ	રવિ	_રવિ
રવિદાસ	રવિદાસ	_રવિદાસ
રવિન્દ્ર	રવિન્દ્ર	_રવિન્દ્ર
રવિન્દ્રનાથ	રવિન્દ્રનાથ	_રવિન્દ્રનાથ
રવિવાર	રવિવાર	_રવિવાર
રવિશંકર	રવિશંકર	_રવિશંકર
રવીન્દ્ર	રવીન્દ્ર	_રવીન્દ્ર
રશમોર	રશમોર	_રશમોર
રશિયા	રશિયા	_રશિયા
રશિયાનાં	રશિયાનાં	_રશિયાનાં
રસ	રસ	_રસ
રસખાન	રસખાન	_રસખાન
રસાયણ	રસાયણ	_રસાયણ
રસાયણવિજ્ઞાન	રસાયણ વિજ્ઞાન	_રસાયણ || _વિજ્ઞાન
રસિકલાલ	રસિકલાલ	_રસિકલાલ
રસીકરણ	રસીકરણ	_રસીકરણ
રસુલપરા	રસુલપરા	_રસુલપરા
રસુવા	રસુવા	_રસુવા
રસેલ	રસેલ	_રસેલ
રસોઈ	રસોઈ	_રસોઈ
રહીમ	રહીમ	_રહીમ
રહેમાન	રહેમાન	_રહેમાન
રહો	રહો	_રહો
રા'	રા'	_રા'
રાંચી	રાંચી	_રાંચી
રાંઢીયા	રાંઢીયા	_રાંઢીયા
રાંદેર	રાંદેર	_રાંદેર
રાંદેરી	રાંદેર +(ી)	_રાંદેર +ી
રાંદેરીયા	રાંદેરીયા	_રાંદેરીયા
રાઇફલ્સ	રાઇફલ્સ	_રાઇફલ્સ
રાઈ	રાઈ	_રાઈ
રાઈટ	રાઈટ	_રાઈટ
રાઈતું	રાઈતું	_રાઈતું
રાઈનો	રાઈનો	_રાઈનો
રાઈફલ્સ	રાઈફલ્સ	_રાઈફલ્સ
રાકિ	રાકિ	_રાકિ
રાકુતેન	રાકુતેન	_રાકુતેન
રાકેશ	રાકેશ	_રાકેશ
રાગ	રાગ	_રાગ
રાઘોબા	રાઘોબા	_રાઘોબા
રાજ	રાજ	_રાજ
રાજકારણ	રાજકારણ	_રાજકારણ
રાજકારણી	રાજકારણ +(ી)	_રાજકારણ +ી
રાજકોટ	રાજકોટ	_રાજકોટ
રાજગઢ	રાજગઢ	_રાજગઢ
રાજગઢી	રાજગઢ +(ી)	_રાજગઢ +ી
રાજગીધ	રાજગીધ	_રાજગીધ
રાજગીર	રાજગીર	_રાજગીર
રાજગુરુ	રાજગુરુ	_રાજગુરુ
રાજગોપાલાચારી	રાજગોપાલાચારી	_રાજગોપાલાચારી
રાજચંદ્ર	રાજચંદ્ર	_રાજચંદ્ર
રાજતરંગિણી	રાજતરંગિણી	_રાજતરંગિણી
રાજધાની	રાજધાની	_રાજધાની
રાજધાનીઓ	રાજધાનીઓ	_રાજધાનીઓ
રાજનાંદગાંવ	રાજનાંદગાંવ	_રાજનાંદગાંવ
રાજનીતિક	રાજનીતિક	_રાજનીતિક
રાજપીપલા	રાજપીપલા	_રાજપીપલા
રાજપૂત	રાજપૂત	_રાજપૂત
રાજપૂતાના	રાજપૂતાના	_રાજપૂતાના
રાજમા	રાજમા	_રાજમા
રાજમાર્ગ	રાજમાર્ગ	_રાજમાર્ગ
રાજમોહન	રાજમોહન	_રાજમોહન
રાજરાજ	રાજરાજ	_રાજરાજ
રાજવંશ	રાજવંશ	_રાજવંશ
રાજવંશો	રાજવંશ +(ો)	_રાજવંશ +ો
રાજવી	રાજવી	_રાજવી
રાજશ્રી	રાજશ્રી	_રાજશ્રી
રાજસમન્દ	રાજસમન્દ	_રાજસમન્દ
રાજસ્થાન	રાજસ્થાન	_રાજસ્થાન
રાજસ્થાનના	રાજસ્થાન +(ના)	_રાજસ્થાન +ના
રાજસ્થાનનો	રાજસ્થાન +(ો)	_રાજસ્થાન $+ન +ો
રાજસ્થાની	રાજસ્થાન +(ી)	_રાજસ્થાન +ી
રાજા	રાજા	_રાજા
રાજાબાઇ	રાજાબાઇ	_રાજાબાઇ
રાજાલાલ	રાજાલાલ	_રાજાલાલ
રાજાસોરસ	રાજાસોરસ	_રાજાસોરસ
રાજીવ	રાજીવ	_રાજીવ
રાજુ	રાજુ	_રાજુ
રાજુરા	રાજુરા	_રાજુરા
રાજુલા	રાજુલા	_રાજુલા
રાજેન્દ્ર	રાજેન્દ્ર	_રાજેન્દ્ર
રાજેન્દ્રસિંહ	રાજેન્દ્ર સિંહ	_રાજેન્દ્ર || _સિંહ
રાજેશ	રાજેશ	_રાજેશ
રાજૌરી	રાજૌરી	_રાજૌરી
રાજ્ય	રાજ્ય	_રાજ્ય
રાજ્યના	રાજ્ય +(ના)	_રાજ્ય +ના
રાજ્યપાલો	રાજ્યપાલો	_રાજ્યપાલો
રાજ્યમાં	રાજ્યમાં	_રાજ્યમાં
રાજ્યો	રાજ્ય +(ો)	_રાજ્ય +ો
રાજ્યોના	રાજ્ય +(ો) +(ના)	_રાજ્ય +ો +ના
રાજ્યોની	રાજ્યોની	_રાજ્યોની
રાઝદાન	રાઝદાન	_રાઝદાન
રાઠોડ	રાઠોડ	_રાઠોડ
રાણકી	રાણકી	_રાણકી
રાણપુર	રાણપુર	_રાણપુર
રાણા	રાણા	_રાણા
રાણાવાવ	રાણાવાવ	_રાણાવાવ
રાણી	રાણી	_રાણી
રાણીખેત	રાણીખેત	_રાણીખેત
રાણીજી	રાણીજી	_રાણીજી
રાણીનો	રાણીનો	_રાણીનો
રાણીપ	રાણીપ	_રાણીપ
રાણીપુર,	રાણીપુર,	_રાણીપુર,
રાણે	રાણે	_રાણે
રાતો	રાતો	_રાતો
રાત્રિ	રાત્રિ	_રાત્રિ
રાથોંગ	રાથોંગ	_રાથોંગ
રાધનપુર	રાધનપુર	_રાધનપુર
રાધા	રાધા	_રાધા
રાધાકૃષ્ણન	રાધાકૃષ્ણન	_રાધાકૃષ્ણન
રાધાનાથ	રાધાનાથ	_રાધાનાથ
રાધાષ્ટમી	રાધાષ્ટમી	_રાધાષ્ટમી
રાધેશ્યામ	રાધેશ્યામ	_રાધેશ્યામ
રાનડે	રાનડે	_રાનડે
રાની	રાની	_રાની
રાપર	રાપર	_રાપર
રાપ્તી	રાપ્તી	_રાપ્તી
રાફડો	રાફડો	_રાફડો
રાફ્ટિંગ	રાફ્ટિંગ	_રાફ્ટિંગ
રાબિયા	રાબિયા	_રાબિયા
રામ	રામ	_રામ
રામકૃષ્ણ	રામકૃષ્ણ	_રામકૃષ્ણ
રામક્રિષ્નન	રામક્રિષ્નન	_રામક્રિષ્નન
રામગઢ	રામગઢ	_રામગઢ
રામચકલી	રામચકલી	_રામચકલી
રામચકલી-પીળી	રામચકલી પીળી	_રામચકલી || _પીળી
રામચકોર	રામચકોર	_રામચકોર
રામદેવ	રામદેવ	_રામદેવ
રામદેવપીર	રામદેવપીર	_રામદેવપીર
રામન	રામન	_રામન
રામનગર	રામનગર	_રામનગર
રામનગર,	રામનગર,	_રામનગર,
રામનવમી	રામનવમી	_રામનવમી
રામનાથ	રામનાથ	_રામનાથ
રામનાથપુરમ	રામનાથપુરમ	_રામનાથપુરમ
રામનારાયણ	રામનારાયણ	_રામનારાયણ
રામપરા,તા.રાજકોટ	રામપરા,તા.રાજકોટ	_રામપરા,તા.રાજકોટ
રામપુર	રામપુર	_રામપુર
રામપ્રસાદ	રામપ્રસાદ	_રામપ્રસાદ
રામફળ	રામફળ	_રામફળ
રામભદ્રાચાર્ય	રામભદ્રાચાર્ય	_રામભદ્રાચાર્ય
રામમોહનરાય	રામમોહનરાય	_રામમોહનરાય
રામલીલા	રામલીલા	_રામલીલા
રામસેજ	રામસેજ	_રામસેજ
રામસેતુ	રામસેતુ	_રામસેતુ
રામાનુજ	રામાનુજ	_રામાનુજ
રામાનુજન	રામાનુજન	_રામાનુજન
રામાનુજાચાર્ય	રામાનુજાચાર્ય	_રામાનુજાચાર્ય
રામાફોસા	રામાફોસા	_રામાફોસા
રામાયણ	રામાયણ	_રામાયણ
રામાયણનાં	રામાયણનાં	_રામાયણનાં
રામાસ્વામી	રામાસ્વામી	_રામાસ્વામી
રામેશ્વરમ	રામેશ્વરમ	_રામેશ્વરમ
રામોલ	રામોલ	_રામોલ
રાય	રાય	_રાય
રાયકા	રાયકા	_રાયકા
રાયગંજ	રાયગંજ	_રાયગંજ
રાયગડ	રાયગડ	_રાયગડ
રાયગડા	રાયગડા	_રાયગડા
રાયગઢ	રાયગઢ	_રાયગઢ
રાયચૂર	રાયચૂર	_રાયચૂર
રાયડો	રાયડો	_રાયડો
રાયણ	રાયણ	_રાયણ
રાયપુર	રાયપુર	_રાયપુર
રાયબરેલી	રાયબરેલી	_રાયબરેલી
રાયસેન	રાયસેન	_રાયસેન
રાવ	રાવ	_રાવ
રાવંગલા	રાવંગલા	_રાવંગલા
રાવજી	રાવજી	_રાવજી
રાવણ	રાવણ	_રાવણ
રાવત	રાવત	_રાવત
રાવલ	રાવલ	_રાવલ
રાવલા	રાવલા	_રાવલા
રાવળ	રાવળ	_રાવળ
રાવળીયાવદર	રાવળીયાવદર	_રાવળીયાવદર
રાવેર	રાવેર	_રાવેર
રાશિ	રાશિ	_રાશિ
રાશી	રાશી	_રાશી
રાષ્ટ્રકૂટ	રાષ્ટ્રકૂટ	_રાષ્ટ્રકૂટ
રાષ્ટ્રધ્વજ	રાષ્ટ્રધ્વજ	_રાષ્ટ્રધ્વજ
રાષ્ટ્રધ્વજો	રાષ્ટ્રધ્વજ +(ો)	_રાષ્ટ્રધ્વજ +ો
રાષ્ટ્રધ્વજોની	રાષ્ટ્રધ્વજોની	_રાષ્ટ્રધ્વજોની
રાષ્ટ્રપતિ	રાષ્ટ્રપતિ	_રાષ્ટ્રપતિ
રાષ્ટ્રપતિઓની	રાષ્ટ્રપતિઓની	_રાષ્ટ્રપતિઓની
રાષ્ટ્રપતિની	રાષ્ટ્રપતિની	_રાષ્ટ્રપતિની
રાષ્ટ્રસંઘ	રાષ્ટ્રસંઘ	_રાષ્ટ્રસંઘ
રાષ્ટ્રસંઘના	રાષ્ટ્રસંઘ +(ના)	_રાષ્ટ્રસંઘ +ના
રાષ્ટ્રીય	રાષ્ટ્રીય	_રાષ્ટ્રીય
રાષ્ટ્રોની	રાષ્ટ્રોની	_રાષ્ટ્રોની
રાસ	રાસ	_રાસ
રાસાયણિક	રાસાયણિક	_રાસાયણિક
રાસ્પબેરી	રાસ્પબેરી	_રાસ્પબેરી
રાહત	રાહત	_રાહત
રાહલા	રાહલા	_રાહલા
રાહુલ	રાહુલ	_રાહુલ
રિંગટોન	રિંગટોન	_રિંગટોન
રિકટર	રિકટર	_રિકટર
રિકન	રિકન	_રિકન
રિકી	રિકી	_રિકી
રિચા	રિચા	_રિચા
રિઝર્વ	રિઝર્વ	_રિઝર્વ
રિઝવાન	રિઝવાન	_રિઝવાન
રિટ્રીવર	રિટ્રીવર	_રિટ્રીવર
રિડલી	રિડલી	_રિડલી
રિડીમર	રિડીમર	_રિડીમર
રિનીયમ	રિનીયમ	_રિનીયમ
રિન્પોચે	રિન્પોચે	_રિન્પોચે
રિપબ્લિકન	રિપબ્લિકન	_રિપબ્લિકન
રિયો	રિયો	_રિયો
રિવરફ્રન્ટ	રિવરફ્રન્ટ	_રિવરફ્રન્ટ
રિવરસાઇડ	રિવરસાઇડ	_રિવરસાઇડ
રિસર્ચ	રિસર્ચ	_રિસર્ચ
રિસાયક્લિંગ	રિસાયક્લિંગ	_રિસાયક્લિંગ
રિસોર્સ	રિસોર્સ	_રિસોર્સ
રી	રી	_રી
રીંગ	રીંગ	_રીંગ
રીંગણ	રીંગણ	_રીંગણ
રીંછ	રીંછ	_રીંછ
રીગન	રીગન	_રીગન
રીચર્ડ	રીચર્ડ	_રીચર્ડ
રીચાર્ડ	રીચાર્ડ	_રીચાર્ડ
રીતે	રીતે	_રીતે
રીન	રીન	_રીન
રીવર	રીવર	_રીવર
રીવરફ્રન્ટ	રીવરફ્રન્ટ	_રીવરફ્રન્ટ
રીવા	રીવા	_રીવા
રુકમણી	રુકમણી	_રુકમણી
રુકુમ	રુકુમ	_રુકુમ
રુક્માવતી	રુક્માવતી	_રુક્માવતી
રુડયાર્ડ	રુડયાર્ડ	_રુડયાર્ડ
રુડૉલ્ફ	રુડૉલ્ફ	_રુડૉલ્ફ
રુથ	રુથ	_રુથ
રુથરફોર્ડીયમ	રુથરફોર્ડીયમ	_રુથરફોર્ડીયમ
રુથેનિયમ	રુથેનિયમ	_રુથેનિયમ
રુદ્ર	રુદ્ર	_રુદ્ર
રુદ્રનાથ	રુદ્રનાથ	_રુદ્રનાથ
રુદ્રપુર	રુદ્રપુર	_રુદ્રપુર
રુદ્રપ્રયાગ	રુદ્ર પ્રયાગ	_રુદ્ર || _પ્રયાગ
રુદ્રમહાલય	રુદ્રમહાલય	_રુદ્રમહાલય
રુદ્રાક્ષ	રુદ્રાક્ષ	_રુદ્રાક્ષ
રુધિરાભિસરણ	રુધિરાભિસરણ	_રુધિરાભિસરણ
રુપનગર	રુપનગર	_રુપનગર
રુપનડેહી	રુપનડેહી	_રુપનડેહી
રુપસે	રુપસે	_રુપસે
રુપાલ	રુપાલ	_રુપાલ
રુપિન	રુપિન	_રુપિન
રુબિડીયમ	રુબિડીયમ	_રુબિડીયમ
રુબે	રુબે	_રુબે
રુમટેક	રુમટેક	_રુમટેક
રુમા	રુમા	_રુમા
રૂખડો	રૂખડો	_રૂખડો
રૂઢિપ્રયોગ	રૂઢિપ્રયોગ	_રૂઢિપ્રયોગ
રૂથ	રૂથ	_રૂથ
રૂપક	રૂપક	_રૂપક
રૂપકુંડ	રૂપકુંડ	_રૂપકુંડ
રૂપગઢનો	રૂપગઢનો	_રૂપગઢનો
રૂપરામ	રૂપરામ	_રૂપરામ
રૂપાણી	રૂપાણી	_રૂપાણી
રૂપાયતન	રૂપાયતન	_રૂપાયતન
રૂપિયા	રૂપિયા	_રૂપિયા
રૂપિયો	રૂપિયો	_રૂપિયો
રૂપે	રૂપે	_રૂપે
રૂપેણ	રૂપેણ	_રૂપેણ
રૂપેરી	રૂપેરી	_રૂપેરી
રૂબિન	રૂબિન	_રૂબિન
રૂમાલી	રૂમાલી	_રૂમાલી
રૂમી	રૂમી	_રૂમી
રૂસો	રૂસો	_રૂસો
રૅનબૅક્સી	રૅનબૅક્સી	_રૅનબૅક્સી
રૅમ્બ્રાં	રૅમ્બ્રાં	_રૅમ્બ્રાં
રે	રે	_રે
રેઇનર	રેઇનર	_રેઇનર
રેકી	રેકી	_રેકી
રેકોન્ગ	રેકોન્ગ	_રેકોન્ગ
રેકોર્ડર	રેકોર્ડર	_રેકોર્ડર
રેખા	રેખા	_રેખા
રેજિમેન્ટ	રેજિમેન્ટ	_રેજિમેન્ટ
રેડક્લિફ	રેડક્લિફ	_રેડક્લિફ
રેડિયમ	રેડિયમ	_રેડિયમ
રેડિયો	રેડિયો	_રેડિયો
રેડૉન	રેડૉન	_રેડૉન
રેડ્ડી	રેડ્ડી	_રેડ્ડી
રેણુકા	રેણુકા	_રેણુકા
રેતી	રેતી	_રેતી
રેતીયો	રેતીયો	_રેતીયો
રેનો	રેનો	_રેનો
રેન્ક	રેન્ક	_રેન્ક
રેન્જર્સ	રેન્જર્સ	_રેન્જર્સ
રેન્ટજિનીયમ	રેન્ટજિનીયમ	_રેન્ટજિનીયમ
રેલ	રેલ	_રેલ
રેલવે	રેલવે	_રેલવે
રેલ્વે	રેલ્વે	_રેલ્વે
રેવાડી	રેવાડી	_રેવાડી
રેશનાલિઝમ	રેશનાલિઝમ	_રેશનાલિઝમ
રેશમ	રેશમ	_રેશમ
રેશમિયા	રેશમિયા	_રેશમિયા
રેસ	રેસ	_રેસ
રેસલમેનિયા	રેસલમેનિયા	_રેસલમેનિયા
રેહા	રેહા	_રેહા
રૉર્શોક	રૉર્શોક	_રૉર્શોક
રૉવન	રૉવન	_રૉવન
રોંગ	રોંગ	_રોંગ
રોઇન્ગ	રોઇન્ગ	_રોઇન્ગ
રોક	રોક	_રોક
રોકડીયો	રોકડીયો	_રોકડીયો
રોગ	રોગ	_રોગ
રોજગાર	રોજગાર	_રોજગાર
રોજડી	રોજડી	_રોજડી
રોજર	રોજર	_રોજર
રોજા	રોજા	_રોજા
રોજીદ	રોજીદ	_રોજીદ
રોઝા	રોઝા	_રોઝા
રોઝો	રોઝો	_રોઝો
રોટલી	રોટલી	_રોટલી
રોટી	રોટી	_રોટી
રોડ	રોડ	_રોડ
રોડ,	રોડ,	_રોડ,
રોડા	રોડા	_રોડા
રોડિયમ	રોડિયમ	_રોડિયમ
રોનાલ્ડ	રોનાલ્ડ	_રોનાલ્ડ
રોનાલ્ડો	રોનાલ્ડ +(ો)	_રોનાલ્ડ +ો
રોબર્ટ	રોબર્ટ	_રોબર્ટ
રોબર્ટસગંજ	રોબર્ટસગંજ	_રોબર્ટસગંજ
રોબિનસિંઘ	રોબિનસિંઘ	_રોબિનસિંઘ
રોબોકોન	રોબોકોન	_રોબોકોન
રોમાનિયા	રોમાનિયા	_રોમાનિયા
રોય	રોય	_રોય
રોલ્પા	રોલ્પા	_રોલ્પા
રોવર	રોવર	_રોવર
રોવર્સ	રોવર્સ	_રોવર્સ
રોશન	રોશન	_રોશન
રોહતક	રોહતક	_રોહતક
રોહતાસ	રોહતાસ	_રોહતાસ
રોહર	રોહર	_રોહર
રોહાનો	રોહાનો	_રોહાનો
રોહિણી	રોહિણી	_રોહિણી
રોહુ	રોહુ	_રોહુ
લંડન	લંડન	_લંડન
લઈશરામ	લઈશરામ	_લઈશરામ
લકુલીશ	લકુલીશ	_લકુલીશ
લક્કડખોદ	લક્કડખોદ	_લક્કડખોદ
લક્કુંડી	લક્કુંડી	_લક્કુંડી
લક્ઝેમ્બર્ગ	લક્ઝેમ્બર્ગ	_લક્ઝેમ્બર્ગ
લક્ઝેમ્બર્ગનો	લક્ઝેમ્બર્ગનો	_લક્ઝેમ્બર્ગનો
લક્ષદ્વીપ	લક્ષદ્વીપ	_લક્ષદ્વીપ
લક્ષ્મણ	લક્ષ્મણ	_લક્ષ્મણ
લક્ષ્મી	લક્ષ્મી	_લક્ષ્મી
લક્ષ્મીચંદ	લક્ષ્મીચંદ	_લક્ષ્મીચંદ
